
"CS052 - Tenure and persons per room by accommodation type"
"ONS Crown Copyright Reserved [from Nomis on 5 April 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2001"
"Tenure     :","All categories: Tenure"
"Accommodation type:","All categories: Accommodation type"

"2001 output area","mnemonic","All categories: Number of persons per room in household","Up to 0.5 persons per room","Over 0.5 and up to 1.0 persons per room","Over 1.0 and up to 1.5 persons per room","Over 1.5 persons per room"
"00CNGA0022","E00046926",117,84,33,0,0
"00CNGA0023","E00046927",117,87,27,0,3
"00CNGA0024","E00046928",133,92,41,0,0
"00CNGA0025","E00046929",137,95,42,0,0
"00CNGA0026","E00046930",131,90,33,8,0
"00CNGA0027","E00046931",136,93,40,3,0
"00CNGA0028","E00046932",124,91,27,3,3
"00CNGA0029","E00046933",109,88,21,0,0
"00CNGA0030","E00046934",127,101,26,0,0
"00CNGA0031","E00046935",134,95,36,3,0
"00CNGA0032","E00046936",135,94,41,0,0
"00CNGA0033","E00046937",110,78,28,4,0
"00CNGA0034","E00046938",105,80,25,0,0
"00CNGA0035","E00046939",112,84,25,3,0
"00CNGA0036","E00046940",118,76,39,3,0
"00CNGA0037","E00046941",137,83,49,5,0
"00CNGA0038","E00046942",126,87,39,0,0
"00CNGA0039","E00046943",114,75,33,3,3
"00CNGA0040","E00046944",118,86,32,0,0
"00CNGA0041","E00046945",117,92,22,3,0
"00CNGA0042","E00046946",119,74,41,4,0
"00CNGA0043","E00046947",124,81,43,0,0
"00CNGA0044","E00046948",127,93,34,0,0
"00CNGA0045","E00046949",121,76,42,3,0
"00CNGA0046","E00046950",126,94,32,0,0
"00CNGA0047","E00046951",124,90,34,0,0
"00CNGA0048","E00046952",101,66,29,6,0
"00CNGA0049","E00046953",124,81,40,3,0
"00CNGA0050","E00046954",119,73,40,3,3
"00CNGA0051","E00046955",130,94,33,3,0
"00CNGA0052","E00046956",131,84,41,3,3
"00CNGA0053","E00046957",123,96,27,0,0
"00CNGA0054","E00046958",118,82,36,0,0
"00CNGA0055","E00046959",96,68,28,0,0
"00CNGA0056","E00046960",124,75,46,3,0
"00CNGA0057","E00046961",148,89,59,0,0
"00CNGA0058","E00046962",102,55,41,0,6
"00CNGA0059","E00046963",115,73,39,0,3
"00CNGA0060","E00046964",137,95,39,3,0
"00CNGA0061","E00046965",140,92,45,0,3
"00CNGA0062","E00046966",142,95,41,3,3
"00CNGA0063","E00046967",145,109,33,3,0
"00CNGA0064","E00046968",128,105,20,3,0
"00CNGA0065","E00046969",120,107,13,0,0
"00CNGA0066","E00046970",118,100,15,3,0
"00CNGA0067","E00046971",135,107,22,3,3
"00CNGB0001","E00046972",235,164,68,3,0
"00CNGB0002","E00046973",100,71,29,0,0
"00CNGB0003","E00046974",86,46,33,4,3
"00CNGB0004","E00046975",138,73,55,7,3
"00CNGB0005","E00046976",106,53,42,11,0
"00CNGB0006","E00046977",138,72,51,9,6
"00CNGB0007","E00046978",121,82,36,3,0
"00CNGB0008","E00046979",135,76,49,7,3
"00CNGB0009","E00046980",117,52,57,5,3
"00CNGB0010","E00046981",115,78,26,8,3
"00CNGB0011","E00046982",117,61,41,6,9
"00CNGB0012","E00046983",89,59,24,3,3
"00CNGB0013","E00046984",112,59,39,11,3
"00CNGB0014","E00046985",119,59,44,10,6
"00CNGB0015","E00046986",126,55,58,6,7
"00CNGB0016","E00046987",99,58,32,9,0
"00CNGB0017","E00046988",124,70,51,3,0
"00CNGB0018","E00046989",107,53,48,3,3
"00CNGB0019","E00046990",119,79,40,0,0
"00CNGB0020","E00046991",116,61,45,7,3
"00CNGB0021","E00046992",106,56,47,3,0
"00CNGB0022","E00046993",112,56,43,10,3
"00CNGB0023","E00046994",104,57,43,4,0
"00CNGB0024","E00046995",102,54,45,0,3
"00CNGB0025","E00046996",122,76,43,0,3
"00CNGB0026","E00046997",81,57,18,6,0
"00CNGB0027","E00046998",130,62,59,6,3
"00CNGB0028","E00046999",129,74,47,8,0
"00CNGB0029","E00047000",129,76,50,3,0
"00CNGB0030","E00047001",117,66,47,4,0
"00CNGB0031","E00047002",150,88,53,3,6
"00CNGB0032","E00047003",121,81,37,3,0
"00CNGB0033","E00047004",120,65,49,6,0
"00CNGB0034","E00047005",122,98,24,0,0
"00CNGB0035","E00047006",106,76,30,0,0
"00CNGB0036","E00047007",117,71,43,3,0
"00CNGB0037","E00047008",148,85,50,13,0
"00CNGB0038","E00047009",128,71,54,3,0
"00CNGB0039","E00047010",103,80,20,3,0
"00CNGB0040","E00047011",140,94,43,0,3
"00CNGB0041","E00047012",117,78,36,0,3
"00CNGB0042","E00047013",128,80,43,5,0
"00CNGB0043","E00047014",131,91,40,0,0
"00CNGB0044","E00047015",136,87,46,3,0
"00CNGB0045","E00047016",98,61,34,0,3
"00CNGB0046","E00047017",133,100,33,0,0
"00CNGB0047","E00047018",180,141,39,0,0
"00CNGB0048","E00047019",161,93,59,6,3
"00CNGB0049","E00047020",129,101,25,3,0
"00CNGB0050","E00047021",133,112,18,3,0
"00CNGB0051","E00047022",136,96,40,0,0
"00CNGB0052","E00047023",259,176,83,0,0
"00CNGB0053","E00047024",96,47,49,0,0
"00CNGB0054","E00047025",149,99,47,3,0
"00CNGB0055","E00047026",145,109,33,3,0
"00CNGB0056","E00047027",130,63,60,4,3
"00CNGB0057","E00047028",128,102,26,0,0
"00CNGB0058","E00047029",182,129,50,0,3
"00CNGB0059","E00047030",87,39,38,7,3
"00CNGB0060","E00047031",110,45,55,7,3
"00CNGB0061","E00047032",133,75,45,9,4
"00CNGB0062","E00047033",150,107,37,6,0
"00CNGB0063","E00047034",111,80,25,3,3
"00CNGB0064","E00047035",149,81,55,10,3
"00CNGB0065","E00047036",118,69,43,6,0
"00CNGB0066","E00047037",119,67,46,3,3
"00CNGB0067","E00047038",105,69,33,3,0
"00CNGB0068","E00047039",140,89,45,3,3
"00CNGB0069","E00047040",103,59,35,6,3
"00CNGB0070","E00047041",137,101,33,3,0
"00CNGB0071","E00047042",102,54,34,11,3
"00CNGB0072","E00047043",119,68,43,5,3
"00CNGB0073","E00047044",114,52,48,11,3
"00CNGB0074","E00047045",114,52,47,9,6
"00CNGB0075","E00047046",109,81,25,3,0
"00CNGB0076","E00047047",104,59,38,7,0
"00CNGB0077","E00047048",127,76,42,6,3
"00CNGB0078","E00047049",94,50,37,7,0
"00CNGB0079","E00047050",123,76,35,6,6
"00CNGB0080","E00047051",137,83,49,5,0
"00CNGB0081","E00047052",103,59,39,5,0
"00CNGB0082","E00047053",115,65,45,5,0
"00CNGB0083","E00047054",123,74,46,3,0
"00CNGB0084","E00047055",115,62,45,4,4
"00CNGC0001","E00047056",108,78,30,0,0
"00CNGC0002","E00047057",127,61,63,3,0
"00CNGC0003","E00047058",115,54,58,3,0
"00CNGC0004","E00047059",120,74,43,3,0
"00CNGC0005","E00047060",92,40,52,0,0
"00CNGC0006","E00047061",112,95,17,0,0
"00CNGC0007","E00047062",129,93,36,0,0
"00CNGC0008","E00047063",110,58,52,0,0
"00CNGC0009","E00047064",114,81,33,0,0
"00CNGC0010","E00047065",111,66,37,8,0
"00CNGC0011","E00047066",120,75,45,0,0
"00CNGC0012","E00047067",104,43,58,3,0
"00CNGC0013","E00047068",119,78,41,0,0
"00CNGC0014","E00047069",128,109,19,0,0
"00CNGC0015","E00047070",137,91,43,3,0
"00CNGC0016","E00047071",130,83,44,3,0
"00CNGC0017","E00047072",123,81,39,3,0
"00CNGC0018","E00047073",122,97,25,0,0
"00CNGC0019","E00047074",108,51,51,3,3
"00CNGC0020","E00047075",135,105,30,0,0
"00CNGC0021","E00047076",129,62,64,0,3
"00CNGC0022","E00047077",130,82,39,9,0
"00CNGC0023","E00047078",117,83,34,0,0
"00CNGC0024","E00047079",111,75,36,0,0
"00CNGC0025","E00047080",88,71,17,0,0
"00CNGC0026","E00047081",154,103,48,3,0
"00CNGC0027","E00047082",119,87,29,0,3
"00CNGC0028","E00047083",122,98,24,0,0
"00CNGC0029","E00047084",144,105,30,3,6
"00CNGC0030","E00047085",128,79,43,6,0
"00CNGC0031","E00047086",132,88,41,3,0
"00CNGC0032","E00047087",159,126,30,3,0
"00CNGC0033","E00047088",148,99,43,6,0
"00CNGC0034","E00047089",113,92,18,3,0
"00CNGC0035","E00047090",168,108,54,6,0
"00CNGC0036","E00047091",147,104,39,4,0
"00CNGC0037","E00047092",120,80,37,0,3
"00CNGC0038","E00047093",122,79,43,0,0
"00CNGC0039","E00047094",126,110,13,3,0
"00CNGC0040","E00047095",147,110,34,3,0
"00CNGC0041","E00047096",132,115,17,0,0
"00CNGC0042","E00047097",149,111,38,0,0
"00CNGC0043","E00047098",133,112,21,0,0
"00CNGC0044","E00047099",113,85,28,0,0
"00CNGC0045","E00047100",155,117,35,3,0
"00CNGC0046","E00047101",127,95,32,0,0
"00CNGC0047","E00047102",138,121,17,0,0
"00CNGC0048","E00047103",153,127,26,0,0
"00CNGC0049","E00047104",103,77,26,0,0
"00CNGC0050","E00047105",96,80,16,0,0
"00CNGC0051","E00047106",97,15,79,0,3
"00CNGC0052","E00047107",129,96,27,0,6
"00CNGC0053","E00047108",130,66,61,3,0
"00CNGC0054","E00047109",112,39,73,0,0
"00CNGC0055","E00047110",118,93,22,3,0
"00CNGC0056","E00047111",114,51,57,6,0
"00CNGC0057","E00047112",116,71,39,3,3
"00CNGC0058","E00047113",118,98,20,0,0
"00CNGC0059","E00047114",115,38,74,0,3
"00CNGC0060","E00047115",144,63,75,3,3
"00CNGC0061","E00047116",102,44,58,0,0
"00CNGC0062","E00047117",139,64,69,3,3
"00CNGC0063","E00047118",116,64,42,10,0
"00CNGC0064","E00047119",119,82,34,0,3
"00CNGC0065","E00047120",124,89,35,0,0
"00CNGC0066","E00047121",108,72,36,0,0
"00CNGC0067","E00047122",138,72,66,0,0
"00CNGC0068","E00047123",123,91,32,0,0
"00CNGC0069","E00047124",107,47,60,0,0
"00CNGC0070","E00047125",83,41,39,3,0
"00CNGC0071","E00047126",132,97,32,3,0
"00CNGC0072","E00047127",147,113,31,3,0
"00CNGC0073","E00047128",129,72,54,0,3
"00CNGC0074","E00047129",119,90,29,0,0
"00CNGC0075","E00047130",128,85,37,6,0
"00CNGC0076","E00047131",141,66,75,0,0
"00CNGC0077","E00047132",120,83,37,0,0
"00CNGC0078","E00047133",135,65,70,0,0
"00CNGC0079","E00047134",112,80,29,3,0
"00CNGC0080","E00047135",147,96,48,3,0
"00CNGD0001","E00047136",143,98,45,0,0
"00CNGD0002","E00047137",113,54,51,8,0
"00CNGD0003","E00047138",127,91,36,0,0
"00CNGD0004","E00047139",114,65,46,3,0
"00CNGD0005","E00047140",143,108,32,3,0
"00CNGD0006","E00047141",145,102,43,0,0
"00CNGD0007","E00047142",117,82,32,3,0
"00CNGD0008","E00047143",130,76,51,3,0
"00CNGD0009","E00047144",128,79,43,6,0
"00CNGD0010","E00047145",124,92,26,6,0
"00CNGD0011","E00047146",127,99,22,6,0
"00CNGD0012","E00047147",113,62,39,9,3
"00CNGD0013","E00047148",105,62,34,6,3
"00CNGD0014","E00047149",95,61,31,3,0
"00CNGD0015","E00047150",131,71,54,6,0
"00CNGD0016","E00047151",123,70,47,6,0
"00CNGD0017","E00047152",136,97,36,3,0
"00CNGD0018","E00047153",111,64,44,3,0
"00CNGD0019","E00047154",111,62,49,0,0
"00CNGD0020","E00047155",110,70,37,3,0
"00CNGD0021","E00047156",114,63,47,4,0
"00CNGD0022","E00047157",111,68,36,7,0
"00CNGD0023","E00047158",109,86,20,3,0
"00CNGD0024","E00047159",118,79,39,0,0
"00CNGD0025","E00047160",137,71,62,4,0
"00CNGD0026","E00047161",126,94,26,6,0
"00CNGD0027","E00047162",132,83,43,6,0
"00CNGD0028","E00047163",126,85,38,3,0
"00CNGD0029","E00047164",140,89,48,3,0
"00CNGD0030","E00047165",130,103,27,0,0
"00CNGD0031","E00047166",124,92,32,0,0
"00CNGD0032","E00047167",119,87,29,3,0
"00CNGD0033","E00047168",133,97,31,5,0
"00CNGD0034","E00047169",148,138,10,0,0
"00CNGD0035","E00047170",122,79,43,0,0
"00CNGD0036","E00047171",123,94,29,0,0
"00CNGD0037","E00047172",130,109,21,0,0
"00CNGD0038","E00047173",128,87,38,0,3
"00CNGD0039","E00047174",122,85,37,0,0
"00CNGD0040","E00047175",102,71,31,0,0
"00CNGD0041","E00047176",137,86,51,0,0
"00CNGD0042","E00047177",130,95,32,3,0
"00CNGD0043","E00047178",120,87,30,0,3
"00CNGD0044","E00047179",110,89,21,0,0
"00CNGD0045","E00047180",135,95,40,0,0
"00CNGD0046","E00047181",140,104,33,3,0
"00CNGD0047","E00047182",124,85,39,0,0
"00CNGD0048","E00047183",121,98,23,0,0
"00CNGD0049","E00047184",110,82,28,0,0
"00CNGD0050","E00047185",150,114,33,0,3
"00CNGD0051","E00047186",117,87,27,3,0
"00CNGD0052","E00047187",132,83,46,3,0
"00CNGD0053","E00047188",114,89,25,0,0
"00CNGD0054","E00047189",134,94,40,0,0
"00CNGD0055","E00047190",130,89,38,3,0
"00CNGD0056","E00047191",122,82,34,6,0
"00CNGD0057","E00047192",120,92,28,0,0
"00CNGD0058","E00047193",133,88,39,6,0
"00CNGD0059","E00047194",127,90,34,3,0
"00CNGD0060","E00047195",148,97,45,3,3
"00CNGD0061","E00047196",112,82,24,6,0
"00CNGD0062","E00047197",130,87,34,3,6
"00CNGD0063","E00047198",127,87,40,0,0
"00CNGD0064","E00047199",146,104,36,3,3
"00CNGD0065","E00047200",103,75,28,0,0
"00CNGD0066","E00047201",128,85,40,3,0
"00CNGD0067","E00047202",114,72,42,0,0
"00CNGD0068","E00047203",140,87,53,0,0
"00CNGD0069","E00047204",122,91,31,0,0
"00CNGD0070","E00047205",127,82,36,6,3
"00CNGD0071","E00047206",135,98,37,0,0
"00CNGD0072","E00047207",109,75,31,3,0
"00CNGD0073","E00047208",139,105,30,4,0
"00CNGD0074","E00047209",129,95,34,0,0
"00CNGD0075","E00047210",113,87,23,3,0
"00CNGD0076","E00047211",149,88,54,7,0
"00CNGD0077","E00047212",127,96,31,0,0
"00CNGD0078","E00047213",123,92,31,0,0
"00CNGD0079","E00047214",128,82,43,3,0
"00CNGD0080","E00047215",126,86,37,3,0
"00CNGD0081","E00047216",146,87,56,3,0
"00CNGD0082","E00047217",115,63,43,6,3
"00CNGD0083","E00047218",127,74,47,6,0
"00CNGD0084","E00047219",123,49,64,7,3
"00CNGE0001","E00047220",102,74,28,0,0
"00CNGE0002","E00047221",117,100,17,0,0
"00CNGE0003","E00047222",137,87,47,3,0
"00CNGE0004","E00047223",134,85,43,6,0
"00CNGE0005","E00047224",129,89,37,3,0
"00CNGE0006","E00047225",133,89,44,0,0
"00CNGE0007","E00047226",143,115,28,0,0
"00CNGE0008","E00047227",136,97,39,0,0
"00CNGE0009","E00047228",139,91,48,0,0
"00CNGE0010","E00047229",145,100,42,3,0
"00CNGE0011","E00047230",133,110,20,3,0
"00CNGE0012","E00047231",132,83,49,0,0
"00CNGE0013","E00047232",126,82,44,0,0
"00CNGE0014","E00047233",131,83,48,0,0
"00CNGE0015","E00047234",109,81,28,0,0
"00CNGE0016","E00047235",106,81,25,0,0
"00CNGE0017","E00047236",113,82,31,0,0
"00CNGE0018","E00047237",128,83,45,0,0
"00CNGE0019","E00047238",126,96,27,3,0
"00CNGE0020","E00047239",119,83,36,0,0
"00CNGE0021","E00047240",133,83,47,0,3
"00CNGE0022","E00047241",109,84,25,0,0
"00CNGE0023","E00047242",126,92,31,3,0
"00CNGE0024","E00047243",125,88,34,3,0
"00CNGE0025","E00047244",121,85,33,3,0
"00CNGE0026","E00047245",147,101,40,3,3
"00CNGE0027","E00047246",131,80,51,0,0
"00CNGE0028","E00047247",111,69,31,8,3
"00CNGE0029","E00047248",115,78,34,3,0
"00CNGE0030","E00047249",131,84,44,3,0
"00CNGE0031","E00047250",131,90,41,0,0
"00CNGE0032","E00047251",113,82,31,0,0
"00CNGE0033","E00047252",130,103,27,0,0
"00CNGE0034","E00047253",118,84,34,0,0
"00CNGE0035","E00047254",121,76,42,3,0
"00CNGE0036","E00047255",124,103,18,3,0
"00CNGE0037","E00047256",130,89,32,9,0
"00CNGE0038","E00047257",128,93,32,3,0
"00CNGE0039","E00047258",130,111,19,0,0
"00CNGE0040","E00047259",106,68,38,0,0
"00CNGE0041","E00047260",121,75,46,0,0
"00CNGE0042","E00047261",111,64,47,0,0
"00CNGE0043","E00047262",127,102,25,0,0
"00CNGE0044","E00047263",130,113,17,0,0
"00CNGE0045","E00047264",128,100,28,0,0
"00CNGE0046","E00047265",137,89,42,6,0
"00CNGE0047","E00047266",116,71,45,0,0
"00CNGE0048","E00047267",119,86,30,0,3
"00CNGE0049","E00047268",104,74,27,3,0
"00CNGE0050","E00047269",119,80,39,0,0
"00CNGE0051","E00047270",122,87,35,0,0
"00CNGE0052","E00047271",123,71,49,3,0
"00CNGE0053","E00047272",121,87,34,0,0
"00CNGE0054","E00047273",127,91,36,0,0
"00CNGE0055","E00047274",117,77,37,3,0
"00CNGE0056","E00047275",121,77,44,0,0
"00CNGE0057","E00047276",133,82,44,7,0
"00CNGE0058","E00047277",122,96,26,0,0
"00CNGE0059","E00047278",123,91,29,3,0
"00CNGE0060","E00047279",123,92,31,0,0
"00CNGE0061","E00047280",146,103,37,6,0
"00CNGE0062","E00047281",125,97,28,0,0
"00CNGE0063","E00047282",139,101,32,3,3
"00CNGE0064","E00047283",109,74,35,0,0
"00CNGE0065","E00047284",129,76,44,9,0
"00CNGE0066","E00047285",136,105,28,3,0
"00CNGE0067","E00047286",122,84,38,0,0
"00CNGE0068","E00047287",131,93,38,0,0
"00CNGE0069","E00047288",142,103,39,0,0
"00CNGF0001","E00047289",120,43,57,17,3
"00CNGF0002","E00047290",134,76,39,16,3
"00CNGF0003","E00047291",125,40,61,21,3
"00CNGF0004","E00047292",105,36,57,12,0
"00CNGF0005","E00047293",120,36,70,11,3
"00CNGF0006","E00047294",96,26,44,20,6
"00CNGF0007","E00047295",112,47,56,6,3
"00CNGF0008","E00047296",130,54,48,13,15
"00CNGF0009","E00047297",148,55,66,18,9
"00CNGF0010","E00047298",148,67,53,18,10
"00CNGF0011","E00047299",107,20,65,15,7
"00CNGF0012","E00047300",140,75,51,11,3
"00CNGF0013","E00047301",144,63,53,22,6
"00CNGF0014","E00047302",124,42,59,17,6
"00CNGF0015","E00047303",134,29,86,10,9
"00CNGF0016","E00047304",126,36,59,22,9
"00CNGF0017","E00047305",126,65,53,8,0
"00CNGF0018","E00047306",138,60,63,9,6
"00CNGF0019","E00047307",124,39,63,13,9
"00CNGF0020","E00047308",131,48,59,18,6
"00CNGF0021","E00047309",137,54,67,13,3
"00CNGF0022","E00047310",110,53,43,8,6
"00CNGF0023","E00047311",138,67,42,19,10
"00CNGF0024","E00047312",137,78,44,12,3
"00CNGF0025","E00047313",128,55,60,10,3
"00CNGF0026","E00047314",143,76,49,13,5
"00CNGF0027","E00047315",118,58,46,11,3
"00CNGF0028","E00047316",121,48,56,10,7
"00CNGF0029","E00047317",116,65,42,6,3
"00CNGF0030","E00047318",134,60,48,14,12
"00CNGF0031","E00047319",132,70,56,6,0
"00CNGF0032","E00047320",115,38,58,16,3
"00CNGF0033","E00047321",100,57,34,9,0
"00CNGF0034","E00047322",130,67,50,10,3
"00CNGF0035","E00047323",120,52,48,15,5
"00CNGF0036","E00047324",105,61,33,11,0
"00CNGF0037","E00047325",108,59,40,6,3
"00CNGF0038","E00047326",158,98,47,10,3
"00CNGF0039","E00047327",112,75,34,0,3
"00CNGF0040","E00047328",143,65,60,12,6
"00CNGF0041","E00047329",124,74,44,3,3
"00CNGF0042","E00047330",136,89,44,3,0
"00CNGF0043","E00047331",162,97,51,11,3
"00CNGF0044","E00047332",142,98,41,0,3
"00CNGF0045","E00047333",160,110,38,6,6
"00CNGF0046","E00047334",157,123,26,5,3
"00CNGF0047","E00047335",127,70,48,3,6
"00CNGF0048","E00047336",142,65,60,12,5
"00CNGF0049","E00047337",142,89,41,12,0
"00CNGF0050","E00047338",133,72,46,11,4
"00CNGF0051","E00047339",115,49,55,8,3
"00CNGF0052","E00047340",127,81,39,4,3
"00CNGF0053","E00047341",109,64,37,4,4
"00CNGF0054","E00047342",99,44,40,11,4
"00CNGF0055","E00047343",109,45,46,12,6
"00CNGF0056","E00047344",107,56,42,3,6
"00CNGF0057","E00047345",137,69,59,9,0
"00CNGF0058","E00047346",151,86,54,8,3
"00CNGF0059","E00047347",130,101,23,6,0
"00CNGF0060","E00047348",136,65,59,9,3
"00CNGF0061","E00047349",142,88,45,9,0
"00CNGF0062","E00047350",120,46,52,19,3
"00CNGF0063","E00047351",93,61,26,6,0
"00CNGF0064","E00047352",143,85,46,12,0
"00CNGF0065","E00047353",120,47,61,9,3
"00CNGF0066","E00047354",101,48,39,8,6
"00CNGF0067","E00047355",133,71,46,10,6
"00CNGF0068","E00047356",120,68,40,5,7
"00CNGF0069","E00047357",139,81,47,8,3
"00CNGF0070","E00047358",95,42,43,6,4
"00CNGF0071","E00047359",129,70,47,9,3
"00CNGF0072","E00047360",107,34,60,13,0
"00CNGF0073","E00047361",106,35,54,12,5
"00CNGF0074","E00047362",110,49,42,16,3
"00CNGF0075","E00047363",119,44,59,13,3
"00CNGF0076","E00047364",94,41,36,11,6
"00CNGF0077","E00047365",111,45,54,12,0
"00CNGF0078","E00047366",112,57,38,14,3
"00CNGF0079","E00047367",116,48,52,10,6
"00CNGF0080","E00047368",92,22,44,15,11
"00CNGF0081","E00047369",111,37,51,17,6
"00CNGF0082","E00047370",134,52,57,25,0
"00CNGF0083","E00047371",109,35,52,19,3
"00CNGG0001","E00047372",115,67,44,4,0
"00CNGG0002","E00047373",178,143,29,3,3
"00CNGG0003","E00047374",133,83,40,7,3
"00CNGG0004","E00047375",105,58,41,3,3
"00CNGG0005","E00047376",118,51,53,11,3
"00CNGG0006","E00047377",117,73,35,6,3
"00CNGG0007","E00047378",124,68,40,10,6
"00CNGG0008","E00047379",131,81,43,4,3
"00CNGG0009","E00047380",142,98,26,9,9
"00CNGG0010","E00047381",152,97,46,3,6
"00CNGG0011","E00047382",137,59,56,19,3
"00CNGG0012","E00047383",143,92,42,9,0
"00CNGG0013","E00047384",129,76,42,8,3
"00CNGG0014","E00047385",138,88,41,9,0
"00CNGG0015","E00047386",127,68,50,3,6
"00CNGG0016","E00047387",139,96,40,0,3
"00CNGG0017","E00047388",143,104,36,0,3
"00CNGG0018","E00047389",116,95,18,3,0
"00CNGG0019","E00047390",140,97,37,3,3
"00CNGG0020","E00047391",136,97,33,6,0
"00CNGG0021","E00047392",118,77,38,0,3
"00CNGG0022","E00047393",121,67,46,5,3
"00CNGG0023","E00047394",122,67,47,5,3
"00CNGG0024","E00047395",137,88,41,8,0
"00CNGG0025","E00047396",145,59,77,6,3
"00CNGG0026","E00047397",146,73,61,12,0
"00CNGG0027","E00047398",122,60,48,8,6
"00CNGG0028","E00047399",125,87,38,0,0
"00CNGG0029","E00047400",129,66,52,11,0
"00CNGG0030","E00047401",128,82,37,6,3
"00CNGG0031","E00047402",136,73,48,12,3
"00CNGG0032","E00047403",128,79,46,3,0
"00CNGG0033","E00047404",121,65,47,6,3
"00CNGG0034","E00047405",171,116,49,3,3
"00CNGG0035","E00047406",106,58,42,6,0
"00CNGG0036","E00047407",147,99,39,6,3
"00CNGG0037","E00047408",114,55,41,12,6
"00CNGG0038","E00047409",122,51,49,17,5
"00CNGG0039","E00047410",116,50,58,8,0
"00CNGG0040","E00047411",104,56,39,9,0
"00CNGG0041","E00047412",115,66,33,10,6
"00CNGG0042","E00047413",120,54,51,9,6
"00CNGG0043","E00047414",89,37,39,10,3
"00CNGG0044","E00047415",107,49,44,10,4
"00CNGG0045","E00047416",147,93,47,4,3
"00CNGG0046","E00047417",97,64,33,0,0
"00CNGG0047","E00047418",104,58,31,9,6
"00CNGG0048","E00047419",142,78,54,7,3
"00CNGG0049","E00047420",143,85,47,11,0
"00CNGG0050","E00047421",112,65,41,3,3
"00CNGG0051","E00047422",93,60,30,0,3
"00CNGG0052","E00047423",130,70,51,6,3
"00CNGG0053","E00047424",100,48,45,7,0
"00CNGG0054","E00047425",117,72,38,7,0
"00CNGG0055","E00047426",124,70,45,6,3
"00CNGG0056","E00047427",145,77,57,8,3
"00CNGG0057","E00047428",115,55,46,8,6
"00CNGG0058","E00047429",111,54,47,7,3
"00CNGG0059","E00047430",127,89,35,0,3
"00CNGG0060","E00047431",110,60,43,4,3
"00CNGG0061","E00047432",110,73,31,3,3
"00CNGG0062","E00047433",130,55,69,6,0
"00CNGG0063","E00047434",117,51,57,6,3
"00CNGG0064","E00047435",114,63,46,5,0
"00CNGG0065","E00047436",110,56,43,5,6
"00CNGG0066","E00047437",126,71,46,3,6
"00CNGG0067","E00047438",119,62,51,0,6
"00CNGG0068","E00047439",128,73,52,3,0
"00CNGG0069","E00047440",110,73,37,0,0
"00CNGG0070","E00047441",126,65,55,3,3
"00CNGG0071","E00047442",128,80,39,9,0
"00CNGG0072","E00047443",135,100,32,3,0
"00CNGG0073","E00047444",120,79,35,6,0
"00CNGG0074","E00047445",148,98,50,0,0
"00CNGH0001","E00047446",185,143,30,9,3
"00CNGH0002","E00047447",201,128,58,15,0
"00CNGH0003","E00047448",185,115,59,5,6
"00CNGH0004","E00047449",204,113,76,12,3
"00CNGH0005","E00047450",143,65,55,16,7
"00CNGH0006","E00047451",113,59,38,16,0
"00CNGH0007","E00047452",150,67,62,15,6
"00CNGH0008","E00047453",109,40,44,11,14
"00CNGH0009","E00047454",138,67,54,10,7
"00CNGH0010","E00047455",133,53,49,16,15
"00CNGH0011","E00047456",145,94,39,8,4
"00CNGH0012","E00047457",85,32,39,8,6
"00CNGH0013","E00047458",119,70,45,4,0
"00CNGH0014","E00047459",170,141,26,0,3
"00CNGH0015","E00047460",175,111,58,6,0
"00CNGH0016","E00047461",149,60,73,7,9
"00CNGH0017","E00047462",144,107,37,0,0
"00CNGH0018","E00047463",185,103,66,11,5
"00CNGH0019","E00047464",96,61,28,4,3
"00CNGH0020","E00047465",114,59,42,7,6
"00CNGH0021","E00047466",112,41,42,19,10
"00CNGH0022","E00047467",137,90,37,10,0
"00CNGH0023","E00047468",160,117,37,6,0
"00CNGH0024","E00047469",175,130,39,3,3
"00CNGH0025","E00047470",131,60,55,13,3
"00CNGH0026","E00047471",111,46,51,8,6
"00CNGH0027","E00047472",184,130,50,4,0
"00CNGH0028","E00047473",108,84,21,0,3
"00CNGH0029","E00047474",117,63,39,9,6
"00CNGH0030","E00047475",148,94,44,7,3
"00CNGH0031","E00047476",124,69,39,13,3
"00CNGH0032","E00047477",130,69,49,3,9
"00CNGH0033","E00047478",102,42,42,10,8
"00CNGH0034","E00047479",82,40,36,6,0
"00CNGH0035","E00047480",116,71,33,3,9
"00CNGH0036","E00047481",106,75,28,3,0
"00CNGH0037","E00047482",130,46,64,14,6
"00CNGH0038","E00047483",117,58,49,7,3
"00CNGH0039","E00047484",79,26,41,6,6
"00CNGH0040","E00047485",149,78,44,18,9
"00CNGH0041","E00047486",89,36,41,4,8
"00CNGH0042","E00047487",119,33,56,16,14
"00CNGH0043","E00047488",126,42,49,32,3
"00CNGH0044","E00047489",112,29,62,13,8
"00CNGH0045","E00047490",120,40,48,20,12
"00CNGH0046","E00047491",97,22,61,11,3
"00CNGH0047","E00047492",124,61,44,10,9
"00CNGH0048","E00047493",114,50,47,11,6
"00CNGH0049","E00047494",117,53,46,9,9
"00CNGH0050","E00047495",107,52,35,11,9
"00CNGH0051","E00047496",91,24,43,18,6
"00CNGH0052","E00047497",118,68,41,3,6
"00CNGH0053","E00047498",87,34,43,10,0
"00CNGH0054","E00047499",114,31,56,19,8
