
"KS017 - Cars or Vans"
"ONS Crown Copyright Reserved [from Nomis on 5 April 2025]"
"Population :","All households"
"Units      :","Persons and Households"
"Date       :","2001"

"2001 output area","mnemonic","No cars or vans in household","1 car or van in household","2 cars or vans in household","3 cars or vans in household","4 or more cars or vans in household"
"00CNGL0087","E00047764",4,49,67,9,6
"00CNGL0088","E00047765",9,63,50,11,6
"00CNGL0089","E00047766",10,52,56,14,0
"00CNGL0090","E00047767",14,44,46,12,6
"00CNGL0091","E00047768",34,51,41,9,4
"00CNGL0092","E00047769",28,46,29,5,0
"00CNGL0093","E00047770",0,36,66,15,4
"00CNGL0094","E00047771",35,45,34,3,0
"00CNGL0095","E00047772",8,33,55,12,6
"00CNGL0096","E00047773",26,50,46,6,3
"00CNGL0097","E00047774",8,50,58,10,0
"00CNGL0098","E00047775",13,58,30,3,3
"00CNGL0099","E00047776",33,50,31,6,0
"00CNGM0001","E00047777",27,55,47,5,3
"00CNGM0002","E00047778",3,44,64,0,0
"00CNGM0003","E00047779",12,56,45,7,0
"00CNGM0004","E00047780",37,39,47,7,0
"00CNGM0005","E00047781",14,62,36,7,3
"00CNGM0006","E00047782",27,64,51,5,0
"00CNGM0007","E00047783",15,63,46,7,0
"00CNGM0008","E00047784",16,63,44,7,0
"00CNGM0009","E00047785",10,64,39,5,0
"00CNGM0010","E00047786",12,42,57,8,3
"00CNGM0011","E00047787",61,74,18,0,0
"00CNGM0012","E00047788",12,55,43,0,0
"00CNGM0013","E00047789",21,54,36,6,0
"00CNGM0014","E00047790",18,54,50,10,3
"00CNGM0015","E00047791",39,83,22,0,0
"00CNGM0016","E00047792",17,44,48,4,3
"00CNGM0017","E00047793",80,38,10,3,0
"00CNGM0018","E00047794",24,53,37,3,3
"00CNGM0019","E00047795",4,44,62,11,3
"00CNGM0020","E00047796",9,60,50,9,3
"00CNGM0021","E00047797",68,44,16,3,0
"00CNGM0022","E00047798",16,49,37,4,3
"00CNGM0023","E00047799",25,84,17,0,0
"00CNGM0024","E00047800",48,50,9,5,0
"00CNGM0025","E00047801",15,73,43,0,0
"00CNGM0026","E00047802",24,67,25,3,0
"00CNGM0027","E00047803",3,18,34,15,6
"00CNGM0028","E00047804",16,66,38,11,4
"00CNGM0029","E00047805",81,55,9,0,0
"00CNGM0030","E00047806",35,46,32,5,0
"00CNGM0031","E00047807",10,42,58,9,5
"00CNGM0032","E00047808",28,68,38,0,3
"00CNGM0033","E00047809",4,52,64,7,3
"00CNGM0034","E00047810",29,57,45,6,3
"00CNGM0035","E00047811",10,58,45,7,0
"00CNGM0036","E00047812",3,30,78,16,5
"00CNGM0037","E00047813",40,48,14,4,0
"00CNGM0038","E00047814",80,37,3,0,0
"00CNGM0039","E00047815",20,57,37,8,3
"00CNGM0040","E00047816",17,61,55,11,0
"00CNGM0041","E00047817",15,31,63,10,5
"00CNGM0042","E00047818",17,48,43,5,3
"00CNGM0043","E00047819",6,47,62,3,0
"00CNGM0044","E00047820",25,68,45,6,0
"00CNGM0045","E00047821",7,44,56,8,0
"00CNGM0046","E00047822",14,58,49,14,4
"00CNGM0047","E00047823",3,30,69,10,3
"00CNGM0048","E00047824",10,53,56,13,0
"00CNGM0049","E00047825",47,29,19,3,0
"00CNGM0050","E00047826",11,42,58,13,6
"00CNGM0051","E00047827",4,42,65,11,0
"00CNGM0052","E00047828",57,40,35,0,0
"00CNGM0053","E00047829",23,35,52,18,5
"00CNGM0054","E00047830",9,57,43,7,0
"00CNGM0055","E00047831",15,47,36,10,4
"00CNGM0056","E00047832",9,41,55,11,4
"00CNGM0057","E00047833",3,34,65,21,4
"00CNGM0058","E00047834",27,71,29,5,0
"00CNGM0059","E00047835",29,51,39,5,6
"00CNGM0060","E00047836",5,53,64,3,3
"00CNGM0061","E00047837",9,52,52,7,3
"00CNGM0062","E00047838",25,65,33,5,0
"00CNGM0063","E00047839",15,34,48,13,3
"00CNGM0064","E00047840",11,41,56,12,3
"00CNGM0065","E00047841",25,58,34,4,0
"00CNGM0066","E00047842",12,51,42,8,4
"00CNGM0067","E00047843",13,64,43,9,5
"00CNGM0068","E00047844",21,47,43,0,0
"00CNGM0069","E00047845",33,54,33,5,3
"00CNGM0070","E00047846",9,55,56,11,3
"00CNGM0071","E00047847",35,53,31,3,0
"00CNGM0072","E00047848",12,50,55,9,0
"00CNGM0073","E00047849",3,54,63,10,3
"00CNGM0074","E00047850",27,69,35,8,0
"00CNGM0075","E00047851",38,70,24,3,0
"00CNGM0076","E00047852",24,59,36,6,3
"00CNGM0077","E00047853",13,46,48,14,3
"00CNGM0078","E00047854",18,65,24,5,0
"00CNGM0079","E00047855",18,53,45,3,3
"00CNGM0080","E00047856",23,67,25,5,0
"00CNGM0081","E00047857",64,34,19,3,3
"00CNGM0082","E00047858",13,53,55,12,0
"00CNGM0083","E00047859",29,41,31,7,3
"00CNGM0084","E00047860",16,50,41,7,3
"00CNGM0085","E00047861",18,55,39,6,0
"00CNGM0086","E00047862",26,61,35,4,3
"00CNGM0087","E00047863",7,40,59,11,3
"00CNGM0088","E00047864",69,31,6,0,0
"00CNGM0089","E00047865",3,56,51,9,0
"00CNGM0090","E00047866",13,45,41,11,3
"00CNGM0091","E00047867",24,62,34,0,0
"00CNGM0092","E00047868",5,53,47,7,4
"00CNGM0093","E00047869",77,48,6,0,0
"00CNGM0094","E00047870",23,51,31,9,0
"00CNGM0095","E00047871",49,64,18,0,3
"00CNGM0096","E00047872",42,62,20,0,3
"00CNGM0097","E00047873",11,63,50,5,3
"00CNGM0098","E00047874",36,50,26,3,3
"00CNGM0099","E00047875",55,64,18,0,0
"00CNGM0100","E00047876",45,51,24,4,0
"00CNGM0101","E00047877",62,61,3,3,0
"00CNGM0102","E00047878",46,50,17,3,3
"00CNGM0103","E00047879",60,57,23,0,3
"00CNGM0104","E00047880",38,74,27,4,0
"00CNGM0105","E00047881",16,53,45,10,3
"00CNGM0106","E00047882",31,64,21,5,0
"00CNGM0107","E00047883",54,49,16,4,3
"00CNGM0108","E00047884",50,46,22,3,0
"00CNGM0109","E00047885",46,50,18,4,3
"00CNGM0110","E00047886",36,57,22,3,0
"00CNGN0001","E00047887",18,49,44,9,3
"00CNGN0002","E00047888",20,64,41,7,3
"00CNGN0003","E00047889",76,57,17,3,0
"00CNGN0004","E00047890",8,36,69,12,4
"00CNGN0005","E00047891",17,51,59,9,0
"00CNGN0006","E00047892",5,50,47,14,9
"00CNGN0007","E00047893",14,55,43,14,3
"00CNGN0008","E00047894",13,34,66,9,4
"00CNGN0009","E00047895",20,54,53,5,0
"00CNGN0010","E00047896",15,49,47,9,0
"00CNGN0011","E00047897",13,44,47,12,4
"00CNGN0012","E00047898",41,49,23,7,0
"00CNGN0013","E00047899",9,47,57,16,7
"00CNGN0014","E00047900",6,53,52,9,4
"00CNGN0015","E00047901",10,35,51,19,3
"00CNGN0016","E00047902",8,51,45,11,5
"00CNGN0017","E00047903",8,39,58,12,0
"00CNGN0018","E00047904",9,38,65,13,6
"00CNGN0019","E00047905",60,65,16,4,0
"00CNGN0020","E00047906",8,33,32,3,0
"00CNGN0021","E00047907",17,60,45,4,3
"00CNGN0022","E00047908",20,58,42,7,5
"00CNGN0023","E00047909",11,56,48,12,3
"00CNGN0024","E00047910",7,56,69,6,4
"00CNGN0025","E00047911",7,41,63,14,3
"00CNGN0026","E00047912",16,73,40,3,0
"00CNGN0027","E00047913",38,57,28,7,0
"00CNGN0028","E00047914",31,51,36,7,3
"00CNGN0029","E00047915",18,43,44,15,5
"00CNGN0030","E00047916",5,46,58,7,3
"00CNGN0031","E00047917",21,59,42,8,0
"00CNGN0032","E00047918",12,50,34,9,0
"00CNGN0033","E00047919",11,51,59,4,3
"00CNGN0034","E00047920",28,61,40,5,3
"00CNGN0035","E00047921",24,53,47,6,0
"00CNGN0036","E00047922",51,47,15,6,0
"00CNGN0037","E00047923",63,41,8,3,0
"00CNGN0038","E00047924",12,49,54,11,0
"00CNGN0039","E00047925",21,68,29,6,0
"00CNGN0040","E00047926",17,46,60,5,4
"00CNGN0041","E00047927",18,50,46,12,3
"00CNGN0042","E00047928",13,53,56,12,0
"00CNGN0043","E00047929",16,50,45,10,3
"00CNGN0044","E00047930",5,48,61,13,0
"00CNGN0045","E00047931",11,35,48,7,0
"00CNGN0046","E00047932",34,78,28,3,3
"00CNGN0047","E00047933",31,54,39,5,3
"00CNGN0048","E00047934",8,40,58,14,3
"00CNGN0049","E00047935",4,36,69,16,4
"00CNGN0050","E00047936",16,67,44,8,3
"00CNGN0051","E00047937",7,56,51,11,3
"00CNGN0052","E00047938",12,41,51,5,5
"00CNGN0053","E00047939",23,38,49,9,0
"00CNGN0054","E00047940",21,53,47,7,3
"00CNGN0055","E00047941",59,49,13,3,0
"00CNGN0056","E00047942",36,71,35,3,3
"00CNGN0057","E00047943",17,38,48,10,3
"00CNGN0058","E00047944",18,62,39,7,0
"00CNGN0059","E00047945",9,51,55,8,4
"00CNGN0060","E00047946",20,55,40,5,0
"00CNGN0061","E00047947",21,73,23,0,0
"00CNGN0062","E00047948",10,40,54,7,4
"00CNGN0063","E00047949",37,48,30,6,0
"00CNGN0064","E00047950",48,54,19,0,0
"00CNGN0065","E00047951",10,52,53,10,3
"00CNGN0066","E00047952",20,36,37,10,4
"00CNGN0067","E00047953",9,34,53,19,4
"00CNGN0068","E00047954",59,57,17,3,0
"00CNGN0069","E00047955",15,52,45,6,0
"00CNGN0070","E00047956",22,61,37,4,0
"00CNGN0071","E00047957",34,70,27,3,0
"00CNGN0072","E00047958",28,69,38,3,0
"00CNGN0073","E00047959",59,51,21,0,3
"00CNGN0074","E00047960",37,56,33,0,3
"00CNGN0075","E00047961",18,42,45,13,0
"00CNGN0076","E00047962",6,36,64,17,4
"00CNGN0077","E00047963",71,55,7,4,0
"00CNGN0078","E00047964",9,55,56,10,4
"00CNGN0079","E00047965",68,37,14,0,0
"00CNGN0080","E00047966",10,46,51,15,3
"00CNGN0081","E00047967",35,54,29,4,3
"00CNGN0082","E00047968",37,53,35,3,0
"00CNGN0083","E00047969",33,54,22,13,0
"00CNGN0084","E00047970",5,44,73,12,0
"00CNGN0085","E00047971",24,48,50,7,0
"00CNGN0086","E00047972",13,37,54,8,3
"00CNGN0087","E00047973",6,49,40,18,3
"00CNGN0088","E00047974",11,45,42,6,3
"00CNGN0089","E00047975",17,45,30,5,0
"00CNGN0090","E00047976",10,51,46,7,0
"00CNGN0091","E00047977",12,49,42,8,0
"00CNGN0092","E00047978",13,43,50,13,7
"00CNGN0093","E00047979",8,41,58,13,3
"00CNGN0094","E00047980",18,45,48,7,0
"00CNGP0001","E00047981",58,68,9,0,3
"00CNGP0002","E00047982",66,43,17,3,0
"00CNGP0003","E00047983",65,62,11,3,0
"00CNGP0004","E00047984",37,47,24,0,3
"00CNGP0005","E00047985",76,45,16,0,0
"00CNGP0006","E00047986",62,59,12,3,0
"00CNGP0007","E00047987",70,63,12,3,0
"00CNGP0008","E00047988",58,61,12,0,0
"00CNGP0009","E00047989",67,52,16,5,0
"00CNGP0010","E00047990",44,56,25,5,0
"00CNGP0011","E00047991",55,58,15,0,0
"00CNGP0012","E00047992",77,29,8,0,0
"00CNGP0013","E00047993",74,42,10,0,0
"00CNGP0014","E00047994",57,52,13,0,0
"00CNGP0015","E00047995",79,46,6,0,0
"00CNGP0016","E00047996",53,68,11,3,0
"00CNGP0017","E00047997",79,42,5,0,0
"00CNGP0018","E00047998",64,49,4,0,0
"00CNGP0019","E00047999",49,68,9,3,0
"00CNGP0020","E00048000",67,58,15,3,0
"00CNGP0021","E00048001",95,23,4,0,0
"00CNGP0022","E00048002",37,58,22,5,0
"00CNGP0023","E00048003",60,32,4,0,0
"00CNGP0024","E00048004",46,65,15,0,3
"00CNGP0025","E00048005",58,56,10,0,0
"00CNGP0026","E00048006",71,49,6,0,0
"00CNGP0027","E00048007",58,60,9,0,0
"00CNGP0028","E00048008",72,38,10,3,0
"00CNGP0029","E00048009",51,59,14,3,0
"00CNGP0030","E00048010",40,70,17,3,0
"00CNGP0031","E00048011",49,58,12,4,3
"00CNGP0032","E00048012",65,57,5,3,0
"00CNGP0033","E00048013",64,38,5,3,0
"00CNGP0034","E00048014",44,63,16,3,0
"00CNGP0035","E00048015",65,52,10,0,0
"00CNGP0036","E00048016",54,64,13,0,0
"00CNGP0037","E00048017",48,67,16,0,0
"00CNGP0038","E00048018",65,61,12,3,0
"00CNGP0039","E00048019",35,67,15,0,0
"00CNGP0040","E00048020",76,52,11,0,0
"00CNGP0041","E00048021",70,32,6,0,0
"00CNGP0042","E00048022",39,66,17,3,0
"00CNGP0043","E00048023",54,46,9,3,0
"00CNGP0044","E00048024",65,56,10,0,3
"00CNGP0045","E00048025",66,51,3,0,0
"00CNGP0046","E00048026",48,50,9,3,0
"00CNGP0047","E00048027",52,64,16,0,3
"00CNGP0048","E00048028",57,49,9,3,0
"00CNGP0049","E00048029",39,70,13,5,0
"00CNGP0050","E00048030",72,45,4,0,0
"00CNGP0051","E00048031",46,58,4,3,3
"00CNGP0052","E00048032",55,52,17,0,3
"00CNGP0053","E00048033",52,40,4,0,0
"00CNGP0054","E00048034",54,49,6,0,0
"00CNGP0055","E00048035",63,45,14,3,0
"00CNGP0056","E00048036",48,58,6,0,0
"00CNGP0057","E00048037",46,62,15,0,0
"00CNGP0058","E00048038",55,49,7,3,0
"00CNGP0059","E00048039",113,32,0,0,0
"00CNGP0060","E00048040",69,40,3,0,0
"00CNGP0061","E00048041",57,57,15,0,0
"00CNGP0062","E00048042",50,55,9,3,0
"00CNGP0063","E00048043",63,44,5,0,0
"00CNGP0064","E00048044",62,51,6,0,3
"00CNGP0065","E00048045",46,57,18,0,0
"00CNGP0066","E00048046",75,54,15,0,0
"00CNGP0067","E00048047",59,58,8,3,3
"00CNGP0068","E00048048",73,55,6,3,0
"00CNGP0069","E00048049",60,46,6,3,0
"00CNGP0070","E00048050",54,50,5,5,3
"00CNGP0071","E00048051",54,43,10,3,0
"00CNGP0072","E00048052",62,44,10,3,0
"00CNGP0073","E00048053",53,48,13,0,0
"00CNGP0074","E00048054",70,60,14,3,3
"00CNGP0075","E00048055",78,48,16,3,0
"00CNGP0076","E00048056",97,65,12,0,3
"00CNGQ0001","E00048057",54,43,15,4,0
"00CNGQ0002","E00048058",14,78,33,5,3
"00CNGQ0003","E00048059",64,44,12,0,3
"00CNGQ0004","E00048060",65,59,8,4,0
"00CNGQ0005","E00048061",73,42,6,0,0
"00CNGQ0006","E00048062",98,36,4,0,0
"00CNGQ0007","E00048063",83,46,0,3,0
"00CNGQ0008","E00048064",99,34,3,0,0
"00CNGQ0009","E00048065",18,60,41,9,3
"00CNGQ0010","E00048066",66,34,6,0,0
"00CNGQ0011","E00048067",63,41,17,0,0
"00CNGQ0012","E00048068",45,50,20,0,0
"00CNGQ0013","E00048069",12,55,40,11,3
"00CNGQ0014","E00048070",81,45,7,0,0
"00CNGQ0015","E00048071",25,71,28,12,0
"00CNGQ0016","E00048072",41,14,9,0,3
"00CNGQ0017","E00048073",79,47,17,3,3
"00CNGQ0018","E00048074",25,63,27,8,3
"00CNGQ0019","E00048075",16,64,43,6,4
"00CNGQ0020","E00048076",53,65,14,3,3
"00CNGQ0021","E00048077",83,39,6,0,0
"00CNGQ0022","E00048078",42,44,28,4,0
"00CNGQ0023","E00048079",19,80,33,3,0
"00CNGQ0024","E00048080",73,45,14,0,3
"00CNGQ0025","E00048081",24,49,29,8,0
"00CNGQ0026","E00048082",45,59,25,4,3
"00CNGQ0027","E00048083",28,63,26,3,0
"00CNGQ0028","E00048084",24,56,30,3,0
"00CNGQ0029","E00048085",58,45,8,3,0
"00CNGQ0030","E00048086",62,37,9,0,0
"00CNGQ0031","E00048087",65,44,10,3,0
"00CNGQ0032","E00048088",57,49,10,0,0
"00CNGQ0033","E00048089",63,44,11,0,0
"00CNGQ0034","E00048090",49,51,17,3,3
"00CNGQ0035","E00048091",46,62,17,3,0
"00CNGQ0036","E00048092",56,55,14,0,0
"00CNGQ0037","E00048093",53,46,14,0,0
"00CNGQ0038","E00048094",47,47,25,3,0
"00CNGQ0039","E00048095",31,69,26,5,0
"00CNGQ0040","E00048096",77,43,11,0,0
"00CNGQ0041","E00048097",60,47,6,0,0
"00CNGQ0042","E00048098",67,46,15,3,0
"00CNGQ0043","E00048099",52,49,18,3,0
"00CNGQ0044","E00048100",61,54,10,0,0
"00CNGQ0045","E00048101",71,48,14,3,0
"00CNGQ0046","E00048102",55,44,10,3,0
"00CNGQ0047","E00048103",46,55,11,3,0
"00CNGQ0048","E00048104",52,42,10,3,3
"00CNGQ0049","E00048105",49,48,10,0,0
"00CNGQ0050","E00048106",67,46,12,3,0
"00CNGQ0051","E00048107",58,49,9,0,0
"00CNGQ0052","E00048108",54,56,15,0,0
"00CNGQ0053","E00048109",57,54,17,0,0
"00CNGQ0054","E00048110",73,45,6,7,0
"00CNGQ0055","E00048111",43,53,16,5,0
"00CNGQ0056","E00048112",42,49,27,4,0
"00CNGQ0057","E00048113",60,45,17,0,3
"00CNGQ0058","E00048114",61,53,20,3,0
"00CNGQ0059","E00048115",60,56,13,3,3
"00CNGQ0060","E00048116",16,60,46,4,0
"00CNGQ0061","E00048117",47,61,22,0,0
"00CNGQ0062","E00048118",9,65,49,9,0
"00CNGQ0063","E00048119",56,64,14,3,0
"00CNGQ0064","E00048120",61,53,16,3,0
"00CNGQ0065","E00048121",28,63,27,6,0
"00CNGQ0066","E00048122",55,39,14,3,3
"00CNGQ0067","E00048123",22,57,35,0,0
"00CNGQ0068","E00048124",68,62,6,0,0
"00CNGQ0069","E00048125",64,56,12,3,0
"00CNGQ0070","E00048126",86,45,3,0,3
"00CNGQ0071","E00048127",55,48,29,3,0
"00CNGQ0072","E00048128",19,65,33,6,6
"00CNGR0001","E00048129",61,47,10,3,0
"00CNGR0002","E00048130",47,62,13,3,0
"00CNGR0003","E00048131",43,66,19,3,0
"00CNGR0004","E00048132",16,53,35,8,3
"00CNGR0005","E00048133",32,51,27,3,0
"00CNGR0006","E00048134",73,41,16,0,0
"00CNGR0007","E00048135",57,51,13,3,0
"00CNGR0008","E00048136",66,49,13,4,3
"00CNGR0009","E00048137",46,63,12,3,0
"00CNGR0010","E00048138",68,31,5,0,3
"00CNGR0011","E00048139",43,45,16,3,0
"00CNGR0012","E00048140",26,58,25,4,0
"00CNGR0013","E00048141",49,51,17,3,0
"00CNGR0014","E00048142",42,53,20,5,0
"00CNGR0015","E00048143",67,38,11,3,0
"00CNGR0016","E00048144",63,51,13,3,0
"00CNGR0017","E00048145",82,38,9,0,0
"00CNGR0018","E00048146",64,40,10,0,0
"00CNGR0019","E00048147",56,50,7,3,0
"00CNGR0020","E00048148",49,45,20,8,3
"00CNGR0021","E00048149",44,51,15,6,3
"00CNGR0022","E00048150",49,74,26,0,0
"00CNGR0023","E00048151",116,36,0,0,0
"00CNGR0024","E00048152",28,68,26,0,0
"00CNGR0025","E00048153",49,46,20,4,3
"00CNGR0026","E00048154",24,59,23,7,0
"00CNGR0027","E00048155",36,57,26,4,0
"00CNGR0028","E00048156",57,48,11,3,3
"00CNGR0029","E00048157",40,54,18,4,0
"00CNGR0030","E00048158",26,73,30,4,3
"00CNGR0031","E00048159",48,51,22,4,0
"00CNGR0032","E00048160",77,28,4,0,0
"00CNGR0033","E00048161",44,49,34,4,0
"00CNGR0034","E00048162",58,43,25,3,0
"00CNGR0035","E00048163",44,43,27,5,0
"00CNGR0036","E00048164",69,54,7,3,0
"00CNGR0037","E00048165",61,45,16,0,0
"00CNGR0038","E00048166",50,62,20,0,3
"00CNGR0039","E00048167",37,51,21,4,0
"00CNGR0040","E00048168",21,52,43,3,0
"00CNGR0041","E00048169",51,61,18,3,3
"00CNGR0042","E00048170",33,74,17,3,0
"00CNGR0043","E00048171",22,57,42,3,0
"00CNGR0044","E00048172",31,47,29,6,3
"00CNGR0045","E00048173",26,66,39,6,0
"00CNGR0046","E00048174",23,65,28,4,0
"00CNGR0047","E00048175",31,54,33,5,0
"00CNGR0048","E00048176",45,49,14,3,0
"00CNGR0049","E00048177",38,55,21,3,0
"00CNGR0050","E00048178",13,57,37,4,0
"00CNGR0051","E00048179",29,52,28,6,3
"00CNGR0052","E00048180",22,61,25,5,0
"00CNGR0053","E00048181",17,57,28,5,0
"00CNGR0054","E00048182",24,47,38,5,3
"00CNGR0055","E00048183",14,64,35,7,0
"00CNGR0056","E00048184",23,69,30,5,0
"00CNGR0057","E00048185",33,53,25,6,3
"00CNGR0058","E00048186",54,33,20,0,3
"00CNGR0059","E00048187",28,80,24,0,0
"00CNGR0060","E00048188",68,62,17,0,0
"00CNGR0061","E00048189",63,61,12,0,0
"00CNGR0062","E00048190",59,51,7,4,0
"00CNGR0063","E00048191",34,65,29,4,0
"00CNGR0064","E00048192",81,55,7,6,0
"00CNGR0065","E00048193",93,36,6,3,0
"00CNGR0066","E00048194",56,68,10,9,0
"00CNGR0067","E00048195",69,61,11,3,0
"00CNGR0068","E00048196",46,50,18,3,0
"00CNGR0069","E00048197",12,72,40,5,3
"00CNGR0070","E00048198",35,55,29,5,3
"00CNGR0071","E00048199",100,38,0,0,0
"00CNGR0072","E00048200",22,68,29,4,0
"00CNGR0073","E00048201",57,47,14,3,0
"00CNGR0074","E00048202",29,65,29,3,3
"00CNGR0075","E00048203",65,45,9,0,0



"","Cells in this dataset have been randomly adjusted to avoid the release"
"","of confidential data."
"",""

