
"TS052 - Occupancy rating for bedrooms"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2021"

"2021 output area","mnemonic","Total: All households","Occupancy rating of bedrooms: +2 or more","Occupancy rating of bedrooms: +1","Occupancy rating of bedrooms: 0","Occupancy rating of bedrooms: -1","Occupancy rating of bedrooms: -2 or less"
"E00046062","E00046062",132,39,35,38,16,4
"E00046063","E00046063",110,32,38,24,14,2
"E00046064","E00046064",137,12,44,65,12,4
"E00046065","E00046065",123,16,60,38,9,0
"E00046066","E00046066",115,1,38,54,17,5
"E00046067","E00046067",139,15,54,50,17,3
"E00046068","E00046068",123,21,32,57,9,4
"E00046069","E00046069",149,45,49,45,7,3
"E00046070","E00046070",123,24,21,58,19,1
"E00046071","E00046071",142,32,52,45,11,2
"E00046073","E00046073",105,47,34,14,6,4
"E00046074","E00046074",97,29,30,30,6,2
"E00046075","E00046075",116,17,30,49,17,3
"E00046080","E00046080",114,24,18,51,16,5
"E00046082","E00046082",139,1,33,90,12,3
"E00046083","E00046083",126,43,43,30,7,3
"E00046085","E00046085",121,35,39,38,8,1
"E00046086","E00046086",128,38,35,41,9,5
"E00046087","E00046087",118,39,31,29,15,4
"E00046088","E00046088",131,58,39,30,4,0
"E00046089","E00046089",130,37,34,46,9,4
"E00046090","E00046090",115,39,40,31,4,1
"E00046093","E00046093",98,39,27,24,6,2
"E00046094","E00046094",119,25,31,46,16,1
"E00046095","E00046095",126,41,50,28,4,3
"E00046096","E00046096",142,39,54,31,11,7
"E00046097","E00046097",139,36,45,50,6,2
"E00046098","E00046098",92,9,5,70,6,2
"E00046099","E00046099",124,35,38,33,16,2
"E00046100","E00046100",128,24,69,34,1,0
"E00046101","E00046101",148,29,44,58,10,7
"E00046102","E00046102",150,50,48,39,7,6
"E00046103","E00046103",125,35,29,43,10,8
"E00046104","E00046104",111,35,37,27,10,2
"E00046105","E00046105",109,37,34,19,14,5
"E00046106","E00046106",111,32,21,43,12,3
"E00046107","E00046107",126,26,24,58,14,4
"E00046108","E00046108",142,44,39,34,19,6
"E00046109","E00046109",154,22,84,45,3,0
"E00046110","E00046110",129,45,41,37,4,2
"E00046111","E00046111",129,48,39,19,15,8
"E00046112","E00046112",113,44,26,24,11,8
"E00046113","E00046113",109,40,29,20,14,6
"E00046114","E00046114",92,33,25,27,4,3
"E00046115","E00046115",107,42,33,23,6,3
"E00046116","E00046116",113,38,26,31,10,8
"E00046117","E00046117",139,46,43,24,19,7
"E00046118","E00046118",95,29,37,23,6,0
"E00046119","E00046119",150,46,41,38,24,1
"E00046120","E00046120",134,46,38,28,14,8
"E00046121","E00046121",119,28,47,34,7,3
"E00046122","E00046122",159,32,64,54,8,1
"E00046124","E00046124",117,26,24,54,10,3
"E00046125","E00046125",131,38,41,40,10,2
"E00046126","E00046126",119,29,42,41,4,3
"E00046127","E00046127",137,25,40,54,15,3
"E00046128","E00046128",130,35,47,35,11,2
"E00046129","E00046129",179,54,77,31,13,4
"E00046130","E00046130",118,15,58,36,9,0
"E00046131","E00046131",119,20,35,51,12,1
"E00046132","E00046132",129,27,49,46,6,1
"E00046133","E00046133",210,9,50,138,12,1
"E00046134","E00046134",147,39,57,46,5,0
"E00046135","E00046135",138,0,35,89,13,1
"E00046136","E00046136",170,31,86,44,9,0
"E00046137","E00046137",129,16,60,36,14,3
"E00046138","E00046138",124,29,27,57,10,1
"E00046140","E00046140",111,41,46,20,3,1
"E00046141","E00046141",164,29,58,70,6,1
"E00046142","E00046142",107,43,41,21,1,1
"E00046143","E00046143",116,50,39,24,3,0
"E00046144","E00046144",114,37,50,21,3,3
"E00046145","E00046145",84,47,23,12,2,0
"E00046146","E00046146",112,23,41,41,5,2
"E00046147","E00046147",111,17,44,45,5,0
"E00046148","E00046148",186,45,82,52,6,1
"E00046149","E00046149",137,41,62,27,7,0
"E00046150","E00046150",124,56,44,21,3,0
"E00046151","E00046151",92,31,33,19,6,3
"E00046152","E00046152",111,37,48,23,3,0
"E00046153","E00046153",138,34,62,35,6,1
"E00046154","E00046154",116,30,42,38,6,0
"E00046155","E00046155",155,38,77,30,6,4
"E00046156","E00046156",79,25,29,20,4,1
"E00046157","E00046157",126,51,33,35,7,0
"E00046158","E00046158",111,33,35,39,4,0
"E00046159","E00046159",166,31,73,57,2,3
"E00046160","E00046160",127,18,44,63,2,0
"E00046161","E00046161",117,16,58,38,4,1
"E00046162","E00046162",118,43,37,33,4,1
"E00046163","E00046163",219,39,73,96,10,1
"E00046164","E00046164",139,39,61,32,7,0
"E00046166","E00046166",104,36,33,26,5,4
"E00046167","E00046167",120,22,46,49,3,0
"E00046168","E00046168",111,33,42,28,8,0
"E00046169","E00046169",84,21,33,27,3,0
"E00046170","E00046170",123,45,39,34,4,1
"E00046171","E00046171",110,28,32,41,8,1
"E00046172","E00046172",131,46,47,32,4,2
"E00046173","E00046173",117,14,43,41,17,2
"E00046174","E00046174",138,15,56,63,4,0
"E00046175","E00046175",154,39,68,37,9,1
"E00046176","E00046176",130,42,31,43,12,2
"E00046177","E00046177",124,14,48,56,6,0
"E00046178","E00046178",126,31,49,34,12,0
"E00046179","E00046179",134,34,39,49,8,4
"E00046180","E00046180",137,33,38,55,9,2
"E00046181","E00046181",151,34,63,46,7,1
"E00046182","E00046182",135,48,51,31,4,1
"E00046183","E00046183",135,46,47,35,7,0
"E00046184","E00046184",117,57,40,15,3,2
"E00046185","E00046185",131,40,52,33,6,0
"E00046186","E00046186",150,76,46,27,1,0
"E00046187","E00046187",189,42,55,81,7,4
"E00046188","E00046188",225,87,70,58,10,0
"E00046189","E00046189",145,43,38,55,9,0
"E00046190","E00046190",124,20,34,53,14,3
"E00046191","E00046191",150,69,56,22,3,0
"E00046192","E00046192",115,39,27,39,9,1
"E00046193","E00046193",121,47,40,32,2,0
"E00046194","E00046194",162,40,45,59,18,0
"E00046195","E00046195",104,52,27,17,7,1
"E00046196","E00046196",178,41,55,70,12,0
"E00046197","E00046197",116,61,39,13,2,1
"E00046198","E00046198",63,43,10,8,2,0
"E00046199","E00046199",121,66,36,17,2,0
"E00046200","E00046200",123,42,39,35,7,0
"E00046201","E00046201",138,33,29,73,2,1
"E00046202","E00046202",91,13,13,53,12,0
"E00046203","E00046203",134,39,24,65,4,2
"E00046204","E00046204",160,31,30,77,20,2
"E00046205","E00046205",114,62,36,15,1,0
"E00046206","E00046206",133,49,43,33,8,0
"E00046207","E00046207",139,9,48,79,3,0
"E00046208","E00046208",114,34,45,31,2,2
"E00046209","E00046209",113,20,20,67,5,1
"E00046210","E00046210",116,50,44,21,1,0
"E00046211","E00046211",174,27,52,80,14,1
"E00046212","E00046212",115,30,26,47,10,2
"E00046213","E00046213",118,44,27,43,3,1
"E00046214","E00046214",97,19,31,42,5,0
"E00046215","E00046215",130,45,46,38,1,0
"E00046216","E00046216",111,26,42,37,2,4
"E00046217","E00046217",116,30,27,45,13,1
"E00046218","E00046218",105,28,26,45,5,1
"E00046219","E00046219",107,38,27,33,6,3
"E00046220","E00046220",122,31,28,50,12,1
"E00046221","E00046221",109,36,29,37,7,0
"E00046222","E00046222",111,31,31,42,7,0
"E00046223","E00046223",133,24,48,51,9,1
"E00046224","E00046224",141,65,50,23,2,1
"E00046225","E00046225",140,69,51,16,1,3
"E00046226","E00046226",129,15,25,77,10,2
"E00046227","E00046227",124,51,46,22,4,1
"E00046228","E00046228",160,67,63,30,0,0
"E00046229","E00046229",133,104,22,7,0,0
"E00046230","E00046230",134,36,74,23,1,0
"E00046231","E00046231",174,16,56,70,28,4
"E00046232","E00046232",147,21,75,34,15,2
"E00046233","E00046233",135,113,17,4,1,0
"E00046234","E00046234",119,19,17,74,7,2
"E00046235","E00046235",136,63,50,22,1,0
"E00046236","E00046236",203,24,85,66,27,1
"E00046237","E00046237",120,62,33,18,3,4
"E00046238","E00046238",117,54,38,23,2,0
"E00046239","E00046239",142,78,40,24,0,0
"E00046240","E00046240",219,68,105,41,5,0
"E00046242","E00046242",135,30,45,49,10,1
"E00046244","E00046244",135,40,45,42,6,2
"E00046245","E00046245",144,62,48,29,5,0
"E00046246","E00046246",108,15,28,39,18,8
"E00046247","E00046247",114,62,34,17,1,0
"E00046248","E00046248",153,15,22,91,19,6
"E00046249","E00046249",129,26,30,70,3,0
"E00046250","E00046250",75,16,20,27,12,0
"E00046251","E00046251",132,12,29,66,24,1
"E00046252","E00046252",115,70,31,12,2,0
"E00046253","E00046253",114,23,37,42,11,1
"E00046254","E00046254",93,20,20,43,9,1
"E00046255","E00046255",104,16,26,57,5,0
"E00046256","E00046256",89,8,19,49,12,1
"E00046257","E00046257",141,56,38,33,14,0
"E00046258","E00046258",97,35,47,13,2,0
"E00046259","E00046259",47,28,6,11,2,0
"E00046260","E00046260",122,41,34,42,4,1
"E00046261","E00046261",139,41,41,43,12,2
"E00046262","E00046262",145,49,38,47,9,2
"E00046263","E00046263",109,64,39,6,0,0
"E00046264","E00046264",173,40,57,63,10,3
"E00046265","E00046265",114,35,30,41,7,1
"E00046266","E00046266",132,30,36,56,10,0
"E00046267","E00046267",106,36,20,46,3,1
"E00046268","E00046268",137,110,20,6,1,0
"E00046269","E00046269",113,14,13,86,0,0
"E00046270","E00046270",132,45,49,34,3,1
"E00046271","E00046271",146,31,35,63,14,3
"E00046272","E00046272",128,17,42,60,7,2
"E00046273","E00046273",101,19,32,48,2,0
"E00046274","E00046274",109,29,29,41,9,1
"E00046275","E00046275",125,41,31,38,12,3
"E00046276","E00046276",218,67,80,52,16,3
"E00046277","E00046277",108,68,29,10,1,0
"E00046278","E00046278",127,35,48,36,6,2
"E00046279","E00046279",168,36,38,78,13,3
"E00046280","E00046280",115,44,32,34,4,1
"E00046281","E00046281",110,32,28,40,9,1
"E00046283","E00046283",151,36,55,49,11,0
"E00046285","E00046285",117,29,49,29,10,0
"E00046286","E00046286",133,49,42,35,7,0
"E00046287","E00046287",135,49,35,42,6,3
"E00046288","E00046288",156,23,39,67,21,6
"E00046289","E00046289",131,32,35,44,14,6
"E00046290","E00046290",142,18,32,70,18,4
"E00046291","E00046291",130,1,15,79,31,4
"E00046292","E00046292",127,26,52,30,14,5
"E00046293","E00046293",143,45,52,35,9,2
"E00046294","E00046294",122,56,45,19,2,0
"E00046295","E00046295",159,29,30,69,25,6
"E00046296","E00046296",146,41,52,42,6,5
"E00046297","E00046297",132,53,48,26,5,0
"E00046298","E00046298",124,41,46,26,8,3
"E00046299","E00046299",138,33,50,36,14,5
"E00046300","E00046300",115,0,69,41,4,1
"E00046301","E00046301",134,57,48,24,5,0
"E00046302","E00046302",151,73,49,24,3,2
"E00046303","E00046303",109,32,36,26,11,4
"E00046304","E00046304",90,21,37,27,3,2
"E00046305","E00046305",114,25,40,37,11,1
"E00046306","E00046306",94,22,29,29,12,2
"E00046307","E00046307",95,18,31,40,5,1
"E00046308","E00046308",127,40,48,32,6,1
"E00046309","E00046309",116,27,31,46,11,1
"E00046310","E00046310",124,31,30,52,7,4
"E00046311","E00046311",113,34,40,31,7,1
"E00046312","E00046312",104,32,25,39,7,1
"E00046313","E00046313",121,24,53,36,8,0
"E00046314","E00046314",120,22,40,38,15,5
"E00046315","E00046315",124,34,37,46,4,3
"E00046316","E00046316",108,28,36,40,4,0
"E00046317","E00046317",125,47,30,35,12,1
"E00046318","E00046318",141,41,40,49,8,3
"E00046319","E00046319",118,29,31,46,10,2
"E00046320","E00046320",124,30,46,29,17,2
"E00046321","E00046321",98,14,30,42,6,6
"E00046322","E00046322",115,33,36,37,5,4
"E00046323","E00046323",128,27,36,58,6,1
"E00046324","E00046324",112,25,32,45,10,0
"E00046325","E00046325",118,25,32,47,13,1
"E00046326","E00046326",123,35,41,37,8,2
"E00046327","E00046327",126,33,49,36,7,1
"E00046328","E00046328",122,28,43,39,12,0
"E00046329","E00046329",127,39,44,38,5,1
"E00046330","E00046330",134,55,49,28,2,0
"E00046331","E00046331",123,24,24,69,6,0
"E00046332","E00046332",108,27,25,52,4,0
"E00046333","E00046333",129,35,38,36,18,2
"E00046334","E00046334",119,26,28,53,12,0
"E00046335","E00046335",112,23,35,37,17,0
"E00046336","E00046336",128,44,42,35,5,2
"E00046337","E00046337",130,40,37,46,7,0
"E00046338","E00046338",110,25,25,57,3,0
"E00046339","E00046339",117,31,39,33,11,3
"E00046340","E00046340",113,34,31,40,7,1
"E00046341","E00046341",131,26,35,58,11,1
"E00046342","E00046342",120,12,57,37,13,1
"E00046343","E00046343",134,30,45,49,10,0
"E00046344","E00046344",105,15,16,48,21,5
"E00046347","E00046347",151,61,42,34,11,3
"E00046348","E00046348",111,44,26,33,8,0
"E00046349","E00046349",151,37,45,47,18,4
"E00046352","E00046352",133,18,36,44,23,12
"E00046353","E00046353",136,37,31,59,7,2
"E00046357","E00046357",121,21,33,50,14,3
"E00046358","E00046358",159,11,78,66,4,0
"E00046359","E00046359",93,12,43,22,14,2
"E00046361","E00046361",80,44,26,9,1,0
"E00046362","E00046362",91,25,33,21,10,2
"E00046363","E00046363",104,9,38,38,14,5
"E00046364","E00046364",80,32,21,18,4,5
"E00046365","E00046365",75,10,27,26,9,3
"E00046366","E00046366",165,47,21,73,19,5
"E00046368","E00046368",119,8,31,48,26,6
"E00046369","E00046369",92,30,15,29,11,7
"E00046370","E00046370",114,4,31,62,13,4
"E00046371","E00046371",115,8,35,50,16,6
"E00046372","E00046372",147,57,44,33,7,6
"E00046373","E00046373",129,58,41,25,2,3
"E00046374","E00046374",90,15,15,32,21,7
"E00046376","E00046376",115,17,21,57,16,4
"E00046378","E00046378",120,68,22,23,6,1
"E00046380","E00046380",102,50,25,16,5,6
"E00046381","E00046381",108,4,22,54,28,0
"E00046382","E00046382",105,13,12,67,12,1
"E00046383","E00046383",120,18,40,50,11,1
"E00046384","E00046384",128,67,30,18,10,3
"E00046386","E00046386",169,13,33,84,35,4
"E00046387","E00046387",133,2,15,93,21,2
"E00046388","E00046388",132,54,32,35,10,1
"E00046390","E00046390",216,2,67,129,17,1
"E00046391","E00046391",149,9,44,67,24,5
"E00046392","E00046392",140,34,20,78,5,3
"E00046393","E00046393",240,4,79,143,12,2
"E00046395","E00046395",147,2,25,98,19,3
"E00046396","E00046396",134,32,32,61,8,1
"E00046397","E00046397",128,20,18,65,22,3
"E00046400","E00046400",73,1,13,46,13,0
"E00046402","E00046402",161,42,17,92,10,0
"E00046403","E00046403",106,21,16,52,16,1
"E00046406","E00046406",101,26,11,56,4,4
"E00046408","E00046408",214,13,66,119,12,4
"E00046413","E00046413",106,26,25,29,18,8
"E00046414","E00046414",83,17,14,36,9,7
"E00046416","E00046416",115,12,43,40,11,9
"E00046417","E00046417",131,31,24,36,22,18
"E00046418","E00046418",143,23,27,77,13,3
"E00046419","E00046419",122,34,25,50,9,4
"E00046420","E00046420",128,36,39,23,21,9
"E00046421","E00046421",147,18,21,93,12,3
"E00046422","E00046422",114,20,27,47,19,1
"E00046423","E00046423",132,32,43,43,11,3
"E00046424","E00046424",136,18,37,42,24,15
"E00046425","E00046425",127,5,21,80,21,0
"E00046426","E00046426",180,13,40,92,30,5
"E00046427","E00046427",163,28,24,89,13,9
"E00046429","E00046429",89,26,20,27,9,7
"E00046430","E00046430",137,21,44,40,23,9
"E00046431","E00046431",127,53,45,22,6,1
"E00046432","E00046432",157,48,33,63,12,1
"E00046435","E00046435",88,6,19,44,19,0
"E00046436","E00046436",120,25,32,57,6,0
"E00046437","E00046437",155,69,58,25,3,0
"E00046438","E00046438",143,39,31,61,8,4
"E00046439","E00046439",119,61,42,13,2,1
"E00046440","E00046440",129,52,38,34,5,0
"E00046442","E00046442",135,63,37,26,8,1
"E00046443","E00046443",119,46,34,30,9,0
"E00046444","E00046444",120,20,32,57,11,0
"E00046445","E00046445",226,74,74,65,13,0
"E00046446","E00046446",139,11,26,89,12,1
"E00046447","E00046447",106,14,23,59,10,0
"E00046448","E00046448",233,97,62,63,11,0
"E00046449","E00046449",111,47,43,21,0,0
"E00046450","E00046450",101,27,37,24,12,1
"E00046451","E00046451",144,27,51,65,0,1
"E00046452","E00046452",115,41,42,29,2,1
"E00046453","E00046453",127,31,21,69,5,1
"E00046454","E00046454",125,18,41,62,4,0
"E00046455","E00046455",137,24,55,50,7,1
"E00046456","E00046456",114,62,33,16,3,0
"E00046457","E00046457",133,21,60,44,7,1
"E00046458","E00046458",138,64,53,18,2,1
"E00046459","E00046459",112,49,38,18,7,0
"E00046460","E00046460",154,68,62,18,4,2
"E00046461","E00046461",135,56,57,19,2,1
"E00046462","E00046462",144,27,50,61,5,1
"E00046463","E00046463",134,33,63,34,4,0
"E00046464","E00046464",114,31,44,35,4,0
"E00046465","E00046465",123,35,61,27,0,0
"E00046466","E00046466",131,59,41,27,3,1
"E00046467","E00046467",128,42,41,32,12,1
"E00046468","E00046468",144,51,54,31,8,0
"E00046469","E00046469",142,41,50,45,3,3
"E00046470","E00046470",136,37,43,52,4,0
"E00046471","E00046471",146,58,63,22,3,0
"E00046472","E00046472",119,53,52,11,3,0
"E00046473","E00046473",115,21,43,42,9,0
"E00046474","E00046474",131,18,58,48,7,0
"E00046475","E00046475",134,67,38,27,1,1
"E00046476","E00046476",127,48,59,18,2,0
"E00046477","E00046477",116,27,46,40,3,0
"E00046478","E00046478",157,43,58,46,9,1
"E00046479","E00046479",105,38,42,20,4,1
"E00046480","E00046480",124,58,43,20,3,0
"E00046481","E00046481",130,49,58,23,0,0
"E00046482","E00046482",163,15,63,75,10,0
"E00046483","E00046483",114,31,58,21,4,0
"E00046484","E00046484",110,16,41,48,5,0
"E00046485","E00046485",116,15,47,49,5,0
"E00046486","E00046486",141,44,55,42,0,0
"E00046487","E00046487",106,27,44,28,6,1
"E00046489","E00046489",153,49,43,42,15,4
"E00046490","E00046490",134,15,53,56,8,2
"E00046491","E00046491",144,29,54,54,6,1
"E00046492","E00046492",123,36,35,49,3,0
"E00046493","E00046493",118,28,32,47,9,2
"E00046494","E00046494",127,31,41,37,15,3
"E00046495","E00046495",135,51,41,34,5,4
"E00046496","E00046496",114,24,38,39,12,1
"E00046497","E00046497",144,29,42,46,22,5
"E00046500","E00046500",175,44,54,70,7,0
"E00046501","E00046501",178,26,69,76,7,0
"E00046502","E00046502",136,62,49,20,4,1
"E00046503","E00046503",122,64,39,19,0,0
"E00046504","E00046504",194,56,95,37,6,0
"E00046505","E00046505",123,62,26,30,5,0
"E00046506","E00046506",122,52,38,27,2,3
"E00046507","E00046507",144,44,44,40,13,3
"E00046508","E00046508",137,35,25,62,12,3
"E00046509","E00046509",137,34,41,52,10,0
"E00046510","E00046510",131,30,43,51,7,0
"E00046511","E00046511",143,31,43,59,7,3
"E00046512","E00046512",110,28,32,43,6,1
"E00046513","E00046513",100,21,33,38,8,0
"E00046514","E00046514",116,22,33,47,14,0
"E00046515","E00046515",119,27,37,45,10,0
"E00046516","E00046516",129,23,35,61,6,4
"E00046517","E00046517",133,32,35,51,12,3
"E00046518","E00046518",108,18,26,54,9,1
"E00046519","E00046519",103,18,27,49,7,2
"E00046520","E00046520",111,23,28,52,6,2
"E00046521","E00046521",121,28,37,48,5,3
"E00046522","E00046522",113,17,33,55,5,3
"E00046523","E00046523",135,25,43,49,18,0
"E00046524","E00046524",115,43,35,31,6,0
"E00046525","E00046525",123,18,32,64,9,0
"E00046526","E00046526",123,29,29,56,8,1
"E00046527","E00046527",110,27,37,39,6,1
"E00046528","E00046528",125,78,29,15,3,0
"E00046529","E00046529",152,53,63,30,4,2
"E00046530","E00046530",119,17,35,55,12,0
"E00046531","E00046531",138,23,33,68,14,0
"E00046532","E00046532",104,16,31,47,9,1
"E00046533","E00046533",54,14,12,14,11,3
"E00046534","E00046534",166,28,39,69,21,9
"E00046535","E00046535",132,31,26,38,26,11
"E00046536","E00046536",176,53,63,58,2,0
"E00046537","E00046537",114,50,32,27,3,2
"E00046538","E00046538",128,54,48,19,6,1
"E00046539","E00046539",131,47,55,22,7,0
"E00046540","E00046540",143,32,60,44,4,3
"E00046541","E00046541",116,55,42,14,4,1
"E00046542","E00046542",143,41,37,61,3,1
"E00046543","E00046543",134,34,76,23,0,1
"E00046544","E00046544",108,42,31,28,6,1
"E00046545","E00046545",120,51,41,23,4,1
"E00046546","E00046546",119,71,27,18,3,0
"E00046547","E00046547",132,63,39,24,4,2
"E00046548","E00046548",133,65,36,21,7,4
"E00046549","E00046549",126,42,51,32,1,0
"E00046550","E00046550",129,35,45,41,5,3
"E00046551","E00046551",105,25,29,25,17,9
"E00046552","E00046552",96,22,27,27,11,9
"E00046553","E00046553",99,26,29,18,20,6
"E00046554","E00046554",153,33,37,55,16,12
"E00046555","E00046555",135,25,24,61,18,7
"E00046556","E00046556",153,45,36,59,10,3
"E00046557","E00046557",116,11,32,68,3,2
"E00046558","E00046558",122,29,17,72,3,1
"E00046559","E00046559",162,18,33,97,12,2
"E00046560","E00046560",106,18,28,57,2,1
"E00046561","E00046561",121,51,31,35,0,4
"E00046562","E00046562",132,81,29,11,7,4
"E00046563","E00046563",112,27,19,61,5,0
"E00046564","E00046564",116,37,26,45,6,2
"E00046565","E00046565",190,113,50,20,4,3
"E00046566","E00046566",89,48,18,20,2,1
"E00046567","E00046567",124,17,77,28,2,0
"E00046568","E00046568",133,14,18,98,2,1
"E00046569","E00046569",141,45,55,39,2,0
"E00046570","E00046570",124,37,54,26,7,0
"E00046571","E00046571",137,88,23,22,1,3
"E00046572","E00046572",129,81,36,8,2,2
"E00046573","E00046573",115,8,37,66,4,0
"E00046574","E00046574",181,43,57,76,4,1
"E00046575","E00046575",167,122,28,11,4,2
"E00046576","E00046576",137,21,32,80,4,0
"E00046577","E00046577",160,10,63,82,5,0
"E00046578","E00046578",116,5,40,65,6,0
"E00046579","E00046579",116,53,14,46,1,2
"E00046580","E00046580",138,48,33,51,4,2
"E00046581","E00046581",137,62,54,19,2,0
"E00046582","E00046582",137,68,43,22,3,1
"E00046583","E00046583",151,75,45,29,2,0
"E00046584","E00046584",144,57,57,28,1,1
"E00046585","E00046585",125,69,25,26,4,1
"E00046586","E00046586",140,65,38,28,1,8
"E00046587","E00046587",119,40,27,40,9,3
"E00046588","E00046588",127,28,26,68,4,1
"E00046589","E00046589",126,75,20,30,0,1
"E00046590","E00046590",114,47,44,21,2,0
"E00046591","E00046591",139,57,31,44,4,3
"E00046592","E00046592",146,51,42,44,7,2
"E00046593","E00046593",123,19,29,67,8,0
"E00046594","E00046594",111,63,25,17,5,1
"E00046595","E00046595",121,40,48,28,5,0
"E00046596","E00046596",166,50,82,32,2,0
"E00046597","E00046597",132,87,18,26,1,0
"E00046598","E00046598",117,63,18,32,3,1
"E00046599","E00046599",141,48,40,47,4,2
"E00046600","E00046600",158,30,68,53,7,0
"E00046601","E00046601",102,34,48,14,6,0
"E00046602","E00046602",142,58,53,21,8,2
"E00046603","E00046603",98,38,23,33,4,0
"E00046604","E00046604",132,47,45,31,7,2
"E00046605","E00046605",131,55,26,24,19,7
"E00046606","E00046606",125,36,48,32,8,1
"E00046607","E00046607",131,25,28,54,21,3
"E00046609","E00046609",145,28,26,50,26,15
"E00046610","E00046610",137,20,28,61,22,6
"E00046611","E00046611",136,20,29,44,35,8
"E00046612","E00046612",96,16,34,37,5,4
"E00046613","E00046613",94,18,27,26,17,6
"E00046614","E00046614",140,39,21,49,16,15
"E00046615","E00046615",123,25,29,37,20,12
"E00046616","E00046616",161,21,48,61,25,6
"E00046617","E00046617",157,24,38,59,26,10
"E00046618","E00046618",100,19,36,25,12,8
"E00046619","E00046619",96,15,23,34,16,8
"E00046621","E00046621",114,16,19,53,18,8
"E00046622","E00046622",129,13,23,71,11,11
"E00046624","E00046624",93,17,15,22,21,18
"E00046625","E00046625",117,27,18,37,24,11
"E00046626","E00046626",122,12,30,49,28,3
"E00046627","E00046627",156,9,21,79,32,15
"E00046628","E00046628",184,2,18,114,42,8
"E00046631","E00046631",74,17,20,17,11,9
"E00046633","E00046633",93,17,22,27,21,6
"E00046635","E00046635",90,13,24,20,26,7
"E00046636","E00046636",156,21,39,65,22,9
"E00046637","E00046637",112,23,18,43,22,6
"E00046638","E00046638",135,9,27,79,15,5
"E00046639","E00046639",104,18,23,30,21,12
"E00046640","E00046640",92,27,19,24,15,7
"E00046641","E00046641",110,25,30,36,12,7
"E00046642","E00046642",113,18,31,40,16,8
"E00046643","E00046643",131,15,24,40,36,16
"E00046644","E00046644",100,19,21,36,16,8
"E00046645","E00046645",89,17,17,32,16,7
"E00046647","E00046647",114,22,16,42,23,11
"E00046648","E00046648",131,23,32,48,14,14
"E00046649","E00046649",143,23,33,47,21,19
"E00046650","E00046650",124,19,23,50,19,13
"E00046651","E00046651",118,17,18,39,34,10
"E00046652","E00046652",121,16,29,44,21,11
"E00046653","E00046653",174,18,46,86,20,4
"E00046654","E00046654",161,18,40,76,20,7
"E00046655","E00046655",98,11,25,28,20,14
"E00046656","E00046656",204,25,71,82,25,1
"E00046657","E00046657",128,12,30,42,25,19
"E00046659","E00046659",112,1,34,54,19,4
"E00046660","E00046660",153,13,36,63,34,7
"E00046662","E00046662",176,28,33,77,24,14
"E00046663","E00046663",144,20,26,69,21,8
"E00046664","E00046664",118,23,22,53,12,8
"E00046665","E00046665",141,22,22,67,23,7
"E00046666","E00046666",130,25,25,57,19,4
"E00046667","E00046667",148,13,56,53,18,8
"E00046668","E00046668",161,4,43,94,15,5
"E00046669","E00046669",158,34,32,58,28,6
"E00046670","E00046670",149,17,25,65,37,5
"E00046671","E00046671",180,2,61,91,20,6
"E00046672","E00046672",145,15,32,55,31,12
"E00046673","E00046673",91,19,18,33,15,6
"E00046674","E00046674",75,8,22,24,15,6
"E00046675","E00046675",63,6,13,27,16,1
"E00046676","E00046676",101,19,24,23,21,14
"E00046677","E00046677",64,10,15,25,8,6
"E00046678","E00046678",145,73,49,21,2,0
"E00046679","E00046679",130,55,50,20,5,0
"E00046680","E00046680",125,56,34,30,5,0
"E00046681","E00046681",123,53,47,20,3,0
"E00046682","E00046682",132,23,27,64,17,1
"E00046683","E00046683",127,24,34,58,9,2
"E00046684","E00046684",115,60,35,17,3,0
"E00046685","E00046685",140,60,42,30,8,0
"E00046686","E00046686",111,50,42,18,1,0
"E00046687","E00046687",150,15,52,73,8,2
"E00046688","E00046688",135,49,46,36,4,0
"E00046689","E00046689",109,55,36,18,0,0
"E00046690","E00046690",106,50,37,17,2,0
"E00046691","E00046691",132,9,37,69,16,1
"E00046692","E00046692",123,39,60,21,1,2
"E00046693","E00046693",161,61,46,51,3,0
"E00046694","E00046694",137,15,49,64,7,2
"E00046695","E00046695",243,105,85,45,7,1
"E00046696","E00046696",156,20,81,48,7,0
"E00046697","E00046697",147,45,53,42,4,3
"E00046698","E00046698",115,26,50,33,6,0
"E00046699","E00046699",141,15,37,78,11,0
"E00046700","E00046700",115,36,55,23,1,0
"E00046701","E00046701",102,7,28,62,5,0
"E00046702","E00046702",161,69,62,27,3,0
"E00046703","E00046703",131,46,72,12,1,0
"E00046704","E00046704",136,10,25,89,11,1
"E00046705","E00046705",123,17,55,45,6,0
"E00046706","E00046706",189,54,40,84,9,2
"E00046707","E00046707",116,33,36,45,1,1
"E00046708","E00046708",166,43,90,28,4,1
"E00046709","E00046709",125,46,48,29,2,0
"E00046710","E00046710",156,30,57,58,11,0
"E00046711","E00046711",133,29,47,50,6,1
"E00046712","E00046712",169,26,62,72,9,0
"E00046713","E00046713",129,3,20,83,23,0
"E00046714","E00046714",124,15,40,53,12,4
"E00046715","E00046715",144,21,49,55,18,1
"E00046716","E00046716",119,26,49,36,7,1
"E00046717","E00046717",134,33,55,38,8,0
"E00046718","E00046718",91,10,30,47,3,1
"E00046719","E00046719",138,60,52,19,7,0
"E00046720","E00046720",225,90,87,44,4,0
