
"KS404UK - Car or van availability"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All households; All cars or vans"
"Units      :","Households"
"Date       :","2011"

"2011 output area","mnemonic","All categories: Car or van availability","No cars or vans in household","1 car or van in household","2 cars or vans in household","3 cars or vans in household","4 or more cars or vans in household"
"E00175778","E00175778",97,48,43,4,1,1
"E00175779","E00175779",130,43,69,17,1,0
"E00175780","E00175780",121,51,59,10,1,0
"E00175781","E00175781",115,16,43,38,14,4
"E00175782","E00175782",53,5,20,23,3,2
"E00175783","E00175783",76,11,16,35,10,4
"E00175784","E00175784",85,41,35,6,3,0
"E00175785","E00175785",137,12,53,61,5,6
"E00175786","E00175786",40,29,10,1,0,0
"E00175787","E00175787",56,47,5,4,0,0
"E00175788","E00175788",77,51,22,4,0,0
"E00175789","E00175789",70,24,37,8,1,0
"E00175790","E00175790",141,34,83,24,0,0
"E00175791","E00175791",41,10,12,13,4,2
"E00175792","E00175792",81,41,35,4,1,0
"E00175793","E00175793",99,63,31,4,0,1
"E00175794","E00175794",61,36,19,5,1,0
"E00175795","E00175795",168,95,53,19,1,0
"E00175796","E00175796",109,10,50,39,6,4
"E00175797","E00175797",99,51,36,10,2,0
"E00175798","E00175798",74,18,34,15,6,1
"E00175799","E00175799",103,47,41,13,1,1
"E00175800","E00175800",86,58,17,8,3,0
"E00175801","E00175801",65,22,31,8,3,1
"E00175802","E00175802",41,20,10,5,2,4
"E00175803","E00175803",116,51,48,17,0,0



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

