
"QS409EW - Persons per room - Households"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","All categories: Number of persons per room in household","Up to 0.5 persons per room","Over 0.5 and up to 1.0 persons per room","Over 1.0 and up to 1.5 persons per room","Over 1.5 persons per room"
"E00047283","E00047283",111,72,39,0,0
"E00047284","E00047284",129,87,40,1,1
"E00047285","E00047285",140,112,26,2,0
"E00047286","E00047286",127,95,31,1,0
"E00047287","E00047287",141,99,38,3,1
"E00047288","E00047288",140,92,47,1,0
"E00047289","E00047289",125,46,54,21,4
"E00047290","E00047290",129,58,46,16,9
"E00047291","E00047291",120,37,62,19,2
"E00047292","E00047292",107,35,57,14,1
"E00047293","E00047293",85,34,40,7,4
"E00047294","E00047294",102,39,42,16,5
"E00047295","E00047295",97,44,40,9,4
"E00047296","E00047296",118,50,57,9,2
"E00047297","E00047297",140,47,69,17,7
"E00047298","E00047298",145,60,65,16,4
"E00047299","E00047299",72,21,39,8,4
"E00047300","E00047300",149,61,63,17,8
"E00047301","E00047301",130,58,57,11,4
"E00047302","E00047302",153,76,63,11,3
"E00047303","E00047303",83,26,47,7,3
"E00047304","E00047304",109,39,53,15,2
"E00047305","E00047305",118,54,47,17,0
"E00047306","E00047306",140,53,64,22,1
"E00047307","E00047307",119,49,51,15,4
"E00047308","E00047308",123,43,67,9,4
"E00047309","E00047309",130,51,51,21,7
"E00047310","E00047310",114,47,51,13,3
"E00047311","E00047311",125,62,51,6,6
"E00047312","E00047312",161,77,71,11,2
"E00047313","E00047313",123,52,58,9,4
"E00047314","E00047314",136,64,51,16,5
"E00047315","E00047315",119,62,45,11,1
"E00047316","E00047316",112,54,45,9,4
"E00047317","E00047317",114,50,47,15,2
"E00047318","E00047318",135,62,56,12,5
"E00047319","E00047319",141,69,54,14,4
"E00047320","E00047320",112,48,50,13,1
"E00047321","E00047321",93,33,48,9,3
"E00047322","E00047322",98,50,36,11,1
"E00047323","E00047323",116,37,65,9,5
"E00047324","E00047324",91,33,47,8,3
"E00047325","E00047325",112,47,55,10,0
"E00047326","E00047326",154,91,48,11,4
"E00047327","E00047327",107,48,46,10,3
"E00047328","E00047328",138,69,56,11,2
"E00047329","E00047329",114,56,47,9,2
"E00047330","E00047330",159,86,60,12,1
"E00047331","E00047331",205,110,83,11,1
"E00047332","E00047332",143,80,48,14,1
"E00047333","E00047333",166,94,59,11,2
"E00047334","E00047334",162,87,56,12,7
"E00047335","E00047335",92,39,42,8,3
"E00047336","E00047336",135,57,62,14,2
"E00047337","E00047337",128,57,48,18,5
"E00047338","E00047338",134,56,66,9,3
"E00047339","E00047339",119,56,48,15,0
"E00047340","E00047340",133,78,45,9,1
"E00047341","E00047341",117,51,53,12,1
"E00047342","E00047342",116,60,42,13,1
"E00047343","E00047343",102,40,43,13,6
"E00047344","E00047344",124,61,47,12,4
"E00047345","E00047345",124,52,49,16,7
"E00047346","E00047346",145,83,47,13,2
"E00047347","E00047347",140,90,38,9,3
"E00047348","E00047348",147,68,64,9,6
"E00047349","E00047349",150,67,62,20,1
"E00047350","E00047350",118,44,54,13,7
"E00047351","E00047351",99,49,40,8,2
"E00047353","E00047353",119,56,48,13,2
"E00047354","E00047354",91,37,39,11,4
"E00047355","E00047355",125,60,55,8,2
"E00047356","E00047356",112,54,40,17,1
"E00047357","E00047357",140,70,56,10,4
"E00047358","E00047358",100,43,44,11,2
"E00047359","E00047359",130,54,62,10,4
"E00047360","E00047360",103,42,50,8,3
"E00047361","E00047361",125,49,60,14,2
"E00047362","E00047362",109,47,40,19,3
"E00047363","E00047363",108,43,50,10,5
"E00047364","E00047364",93,32,43,15,3
"E00047365","E00047365",110,39,51,18,2
"E00047366","E00047366",113,57,40,11,5
"E00047367","E00047367",105,48,38,16,3
"E00047368","E00047368",92,33,36,21,2
"E00047369","E00047369",100,35,44,16,5
"E00047370","E00047370",131,42,59,25,5
"E00047371","E00047371",99,32,56,10,1
"E00047372","E00047372",122,71,44,7,0
"E00047373","E00047373",84,61,20,3,0
"E00047374","E00047374",133,72,45,12,4
"E00047375","E00047375",118,59,49,9,1
"E00047376","E00047376",126,71,42,6,7
"E00047377","E00047377",116,50,56,10,0
"E00047378","E00047378",117,71,43,3,0
"E00047379","E00047379",180,105,65,8,2
"E00047380","E00047380",205,142,50,10,3
"E00047381","E00047381",179,106,69,2,2
"E00047382","E00047382",157,74,65,16,2
"E00047383","E00047383",174,92,69,8,5
"E00047384","E00047384",156,78,65,11,2
"E00047385","E00047385",144,86,52,3,3
"E00047387","E00047387",182,109,59,10,4
"E00047388","E00047388",147,98,44,4,1
"E00047389","E00047389",211,144,55,9,3
"E00047390","E00047390",164,99,52,8,5
"E00047391","E00047391",219,129,72,14,4
"E00047392","E00047392",138,77,53,6,2
"E00047393","E00047393",138,73,57,6,2
"E00047394","E00047394",132,69,47,9,7
"E00047396","E00047396",152,82,62,6,2
"E00047397","E00047397",143,76,58,7,2
"E00047398","E00047398",123,55,51,11,6
"E00047399","E00047399",136,83,44,7,2
"E00047400","E00047400",141,63,62,13,3
"E00047401","E00047401",144,66,61,11,6
"E00047402","E00047402",192,90,77,18,7
"E00047403","E00047403",135,83,46,4,2
"E00047404","E00047404",109,49,51,5,4
"E00047405","E00047405",171,97,59,9,6
"E00047406","E00047406",107,48,49,7,3
"E00047407","E00047407",149,92,52,2,3
"E00047408","E00047408",109,47,52,8,2
"E00047409","E00047409",135,63,51,15,6
"E00047410","E00047410",116,48,58,10,0
"E00047411","E00047411",111,60,42,7,2
"E00047412","E00047412",114,64,38,11,1
"E00047413","E00047413",120,51,57,9,3
"E00047414","E00047414",97,41,43,11,2
"E00047415","E00047415",113,54,49,8,2
"E00047416","E00047416",155,80,61,9,5
"E00047417","E00047417",120,59,46,4,11
"E00047418","E00047418",94,45,39,8,2
"E00047419","E00047419",145,78,59,6,2
"E00047420","E00047420",150,68,74,6,2
"E00047421","E00047421",94,48,37,7,2
"E00047422","E00047422",78,49,24,4,1
"E00047423","E00047423",133,67,52,11,3
"E00047424","E00047424",106,42,55,6,3
"E00047425","E00047425",120,67,37,10,6
"E00047426","E00047426",130,77,44,9,0
"E00047427","E00047427",136,63,59,10,4
"E00047428","E00047428",131,69,54,6,2
"E00047429","E00047429",111,56,47,6,2
"E00047430","E00047430",130,86,34,7,3
"E00047431","E00047431",138,80,47,7,4
"E00047432","E00047432",124,67,51,5,1
"E00047433","E00047433",90,37,49,2,2
"E00047434","E00047434",112,46,51,11,4
"E00047435","E00047435",138,77,50,7,4
"E00047437","E00047437",123,66,49,7,1
"E00047438","E00047438",107,62,38,5,2
"E00047439","E00047439",140,74,56,8,2
"E00047440","E00047440",118,71,36,8,3
"E00047441","E00047441",77,38,33,3,3
"E00047442","E00047442",176,101,68,4,3
"E00047443","E00047443",169,100,63,4,2
"E00047444","E00047444",126,74,49,3,0
"E00047445","E00047445",168,95,62,8,3
"E00047446","E00047446",164,120,36,7,1
"E00047447","E00047447",202,124,61,14,3
"E00047448","E00047448",186,94,72,15,5
"E00047449","E00047449",203,109,73,18,3
"E00047450","E00047450",138,69,46,16,7
"E00047451","E00047451",116,70,34,11,1
"E00047452","E00047452",145,86,44,10,5
"E00047453","E00047453",93,44,36,9,4
"E00047454","E00047454",130,64,49,11,6
"E00047456","E00047456",135,78,45,11,1
"E00047457","E00047457",69,29,28,9,3
"E00047458","E00047458",132,73,49,6,4
"E00047460","E00047460",237,152,66,16,3
"E00047461","E00047461",147,49,71,19,8
"E00047462","E00047462",66,42,20,3,1
"E00047463","E00047463",204,110,74,15,5
"E00047464","E00047464",93,48,36,8,1
"E00047465","E00047465",118,57,45,14,2
"E00047466","E00047466",107,49,46,11,1
"E00047467","E00047467",116,62,46,4,4
"E00047468","E00047468",56,31,16,8,1
"E00047470","E00047470",142,61,53,24,4
"E00047471","E00047471",113,54,46,13,0
"E00047472","E00047472",187,114,54,14,5
"E00047473","E00047473",125,75,41,2,7
"E00047474","E00047474",134,71,47,7,9
"E00047475","E00047475",91,49,35,7,0
"E00047476","E00047476",132,61,52,14,5
"E00047477","E00047477",126,62,49,10,5
"E00047478","E00047478",93,28,43,16,6
"E00047479","E00047479",74,36,29,7,2
"E00047480","E00047480",169,85,71,7,6
"E00047481","E00047481",118,70,35,7,6
"E00047482","E00047482",132,62,58,11,1
"E00047483","E00047483",116,54,48,13,1
"E00047484","E00047484",74,25,36,11,2
"E00047485","E00047485",139,73,43,16,7
"E00047486","E00047486",52,19,28,5,0
"E00047487","E00047487",90,31,44,9,6
"E00047488","E00047488",97,38,40,15,4
"E00047489","E00047489",98,34,48,12,4
"E00047490","E00047490",102,31,55,13,3
"E00047491","E00047491",47,10,30,5,2
"E00047492","E00047492",106,59,39,4,4
"E00047493","E00047493",122,50,57,14,1
"E00047494","E00047494",136,56,57,18,5
"E00047495","E00047495",92,37,42,9,4
"E00047496","E00047496",70,13,43,9,5
"E00047497","E00047497",116,59,41,11,5
"E00047498","E00047498",117,41,60,13,3
"E00047499","E00047499",124,48,61,11,4
"E00047500","E00047500",88,28,43,14,3
"E00047501","E00047501",82,32,37,9,4
"E00047502","E00047502",87,25,41,17,4
"E00047503","E00047503",90,28,49,9,4
"E00047504","E00047504",109,32,56,14,7
"E00047505","E00047505",115,40,60,14,1
"E00047506","E00047506",124,71,40,7,6
"E00047507","E00047507",125,79,36,5,5
"E00047508","E00047508",101,31,53,13,4
"E00047509","E00047509",89,30,42,12,5
"E00047510","E00047510",76,20,37,16,3
"E00047511","E00047511",140,54,67,11,8
"E00047512","E00047512",143,75,48,13,7
"E00047513","E00047513",117,85,26,3,3
"E00047514","E00047514",80,22,45,10,3
"E00047515","E00047515",167,93,58,9,7
"E00047516","E00047516",101,45,38,9,9
"E00047517","E00047517",91,35,44,10,2
"E00047518","E00047518",143,66,51,19,7
"E00047519","E00047519",121,76,32,9,4
"E00047520","E00047520",164,95,47,20,2
"E00047521","E00047521",102,35,53,6,8
"E00047522","E00047522",90,27,42,15,6
"E00047523","E00047523",99,52,39,6,2
"E00047524","E00047524",97,47,36,10,4
"E00047525","E00047525",130,63,53,12,2
"E00047526","E00047526",124,58,48,14,4
"E00047527","E00047527",151,102,37,6,6
"E00047528","E00047528",115,51,55,8,1
"E00047529","E00047529",96,38,42,12,4
"E00047530","E00047530",115,73,33,8,1
"E00047531","E00047531",129,99,29,0,1
"E00047532","E00047532",142,81,51,7,3
"E00047533","E00047533",110,51,42,8,9
"E00047534","E00047534",160,72,76,8,4
"E00047535","E00047535",96,44,43,9,0
"E00047536","E00047536",149,100,45,3,1
"E00047537","E00047537",109,45,53,10,1
"E00047538","E00047538",146,123,23,0,0
"E00047539","E00047539",94,31,52,11,0
"E00047540","E00047540",113,36,58,14,5
"E00047541","E00047541",122,40,62,16,4
"E00047542","E00047542",97,47,40,9,1
"E00047543","E00047543",113,53,48,11,1
"E00047544","E00047544",138,66,63,6,3
"E00047546","E00047546",212,160,49,3,0
"E00047547","E00047547",108,47,44,13,4
"E00047548","E00047548",129,66,47,11,5
"E00047549","E00047549",162,143,18,0,1
"E00047550","E00047550",150,83,59,5,3
"E00047551","E00047551",141,98,38,3,2
"E00047552","E00047552",167,116,39,10,2
"E00047553","E00047553",111,49,36,21,5
"E00047554","E00047554",75,19,37,14,5
"E00047555","E00047555",72,18,39,14,1
"E00047556","E00047556",108,50,40,15,3
"E00047557","E00047557",105,39,55,10,1
"E00047558","E00047558",92,37,45,8,2
"E00047559","E00047559",111,49,44,14,4
"E00047560","E00047560",87,35,45,3,4
"E00047561","E00047561",81,36,34,11,0
"E00047562","E00047562",98,44,40,10,4
"E00047563","E00047563",89,25,48,14,2
"E00047564","E00047564",117,45,58,8,6
"E00047565","E00047565",112,43,52,13,4
"E00047566","E00047566",106,42,47,15,2
"E00047567","E00047567",58,15,35,5,3
"E00047568","E00047568",140,87,51,1,1
"E00047569","E00047569",120,37,67,13,3
"E00047570","E00047570",105,43,46,14,2
"E00047571","E00047571",95,36,42,11,6
"E00047572","E00047572",140,52,77,7,4
"E00047573","E00047573",124,50,55,16,3
"E00047574","E00047574",152,132,18,2,0
"E00047575","E00047575",99,40,37,20,2
"E00047576","E00047576",135,60,63,8,4
"E00047577","E00047577",158,126,30,2,0
"E00047578","E00047578",122,71,42,7,2
"E00047579","E00047579",110,41,58,8,3
"E00047580","E00047580",142,83,49,9,1
"E00047581","E00047581",113,53,50,9,1
"E00047582","E00047582",91,41,37,10,3
"E00047583","E00047583",153,125,25,1,2
"E00047584","E00047584",82,36,35,7,4
"E00047585","E00047585",143,60,72,7,4
"E00047586","E00047586",90,31,48,10,1
"E00047587","E00047587",109,68,30,9,2
"E00047588","E00047588",123,74,44,3,2
"E00047589","E00047589",103,77,25,1,0
"E00047590","E00047590",117,74,35,7,1
"E00047591","E00047591",148,99,44,4,1
"E00047592","E00047592",159,84,58,12,5
"E00047593","E00047593",90,38,42,7,3
"E00047594","E00047594",113,59,42,8,4
"E00047595","E00047595",163,138,20,4,1
"E00047596","E00047596",156,99,44,8,5
"E00047597","E00047597",127,52,59,11,5
"E00047598","E00047598",146,100,42,3,1
"E00047599","E00047599",158,108,49,0,1
"E00047600","E00047600",129,77,49,1,2
"E00047601","E00047601",138,92,43,3,0
"E00047602","E00047602",137,94,42,1,0
"E00047603","E00047603",134,90,41,2,1
"E00047604","E00047604",134,82,48,4,0
"E00047605","E00047605",141,91,44,5,1
"E00047606","E00047606",135,80,52,1,2
"E00047607","E00047607",133,86,42,2,3
"E00047608","E00047608",158,117,38,2,1
"E00047609","E00047609",131,83,45,1,2
"E00047610","E00047610",118,83,35,0,0
"E00047611","E00047611",156,103,45,6,2
"E00047612","E00047612",170,100,60,3,7
"E00047614","E00047614",121,87,34,0,0
"E00047615","E00047615",182,120,57,5,0
"E00047616","E00047616",145,118,26,1,0
"E00047617","E00047617",117,74,36,4,3
"E00047618","E00047618",121,77,41,3,0
"E00047619","E00047619",133,79,47,3,4
"E00047620","E00047620",116,81,32,1,2
"E00047621","E00047621",118,76,37,4,1
"E00047622","E00047622",150,108,40,2,0
"E00047623","E00047623",98,89,9,0,0
"E00047624","E00047624",122,88,31,2,1
"E00047625","E00047625",137,98,36,1,2
"E00047626","E00047626",156,122,32,2,0
"E00047627","E00047627",138,101,36,1,0
"E00047628","E00047628",132,99,32,1,0
"E00047629","E00047629",122,71,48,2,1
"E00047630","E00047630",157,99,48,8,2
"E00047631","E00047631",166,113,45,7,1
"E00047632","E00047632",168,112,52,3,1
"E00047633","E00047633",149,102,45,2,0
"E00047634","E00047634",125,82,41,2,0
"E00047635","E00047635",161,115,44,2,0
"E00047636","E00047636",164,141,23,0,0
"E00047637","E00047637",132,83,45,3,1
"E00047638","E00047638",228,157,64,6,1
"E00047639","E00047639",121,76,43,2,0
"E00047640","E00047640",122,89,31,2,0
"E00047641","E00047641",111,62,44,5,0
"E00047642","E00047642",98,64,32,1,1
"E00047643","E00047643",124,87,34,3,0
"E00047644","E00047644",125,92,32,1,0
"E00047645","E00047645",120,70,43,6,1
"E00047646","E00047646",89,56,32,1,0
"E00047647","E00047647",103,69,31,3,0
"E00047648","E00047648",125,72,48,5,0
"E00047649","E00047649",140,79,56,4,1
"E00047650","E00047650",110,61,45,3,1
"E00047651","E00047651",96,55,35,4,2
"E00047652","E00047652",136,92,41,1,2
"E00047653","E00047653",139,79,52,8,0
"E00047654","E00047654",102,79,23,0,0
"E00047655","E00047655",124,76,43,3,2
"E00047656","E00047656",125,76,45,3,1
"E00047657","E00047657",113,79,33,1,0
"E00047658","E00047658",125,76,48,1,0
"E00047659","E00047659",124,77,45,2,0
"E00047660","E00047660",135,75,56,4,0
"E00047661","E00047661",143,84,56,3,0
"E00047662","E00047662",129,96,32,1,0
"E00047663","E00047663",124,72,51,0,1
"E00047664","E00047664",142,111,27,4,0
"E00047665","E00047665",116,76,34,5,1
"E00047666","E00047666",118,78,38,2,0
"E00047667","E00047667",105,77,26,2,0
"E00047668","E00047668",125,71,48,6,0
"E00047669","E00047669",137,90,41,4,2
"E00047670","E00047670",141,97,40,1,3
"E00047671","E00047671",127,97,28,2,0
"E00047672","E00047672",128,91,35,2,0
"E00047673","E00047673",173,105,60,5,3
"E00047674","E00047674",141,97,43,1,0
"E00047675","E00047675",123,78,41,3,1
"E00047676","E00047676",159,112,45,1,1
"E00047677","E00047677",114,64,49,0,1
"E00047678","E00047678",136,107,29,0,0
"E00047679","E00047679",144,126,18,0,0
"E00047680","E00047680",121,95,26,0,0
"E00047681","E00047681",137,90,43,4,0
"E00047682","E00047682",150,132,18,0,0
"E00047683","E00047683",109,101,6,2,0
"E00047684","E00047684",142,118,23,1,0
"E00047685","E00047685",113,99,13,0,1
"E00047686","E00047686",123,90,31,2,0
"E00047687","E00047687",119,85,32,2,0
"E00047688","E00047688",124,96,27,1,0
"E00047689","E00047689",135,109,26,0,0
"E00047690","E00047690",136,109,27,0,0
"E00047691","E00047691",122,110,12,0,0
"E00047692","E00047692",131,113,18,0,0
"E00047693","E00047693",62,48,14,0,0
"E00047694","E00047694",143,112,31,0,0
"E00047695","E00047695",134,105,26,2,1
"E00047696","E00047696",136,109,27,0,0
"E00047697","E00047697",117,97,19,1,0
"E00047698","E00047698",132,101,31,0,0
"E00047700","E00047700",133,97,36,0,0
"E00047701","E00047701",137,119,18,0,0
"E00047702","E00047702",127,114,12,0,1
"E00047703","E00047703",133,115,18,0,0
"E00047704","E00047704",129,86,42,1,0
"E00047705","E00047705",141,104,35,2,0
"E00047706","E00047706",141,120,20,1,0
"E00047707","E00047707",114,94,20,0,0
"E00047708","E00047708",95,85,10,0,0
"E00047709","E00047709",127,116,11,0,0
"E00047710","E00047710",137,106,29,1,1
"E00047711","E00047711",116,84,32,0,0
"E00047712","E00047712",133,108,24,0,1
"E00047713","E00047713",138,112,26,0,0
"E00047714","E00047714",119,105,14,0,0
"E00047715","E00047715",126,96,29,1,0
"E00047716","E00047716",108,88,18,2,0
"E00047717","E00047717",161,143,17,1,0
"E00047718","E00047718",170,135,34,0,1
"E00047719","E00047719",112,95,17,0,0
"E00047720","E00047720",138,110,27,1,0
"E00047721","E00047721",121,83,37,1,0
"E00047722","E00047722",115,94,19,1,1
"E00047723","E00047723",119,104,15,0,0
"E00047724","E00047724",124,102,22,0,0
"E00047725","E00047725",180,169,11,0,0
"E00047726","E00047726",165,138,26,1,0
"E00047727","E00047727",116,92,24,0,0
"E00047728","E00047728",135,108,27,0,0
"E00047729","E00047729",117,90,27,0,0
"E00047730","E00047730",117,97,19,1,0
"E00047731","E00047731",141,134,6,1,0
"E00047732","E00047732",116,96,20,0,0
"E00047733","E00047733",115,92,22,1,0
"E00047734","E00047734",138,126,11,1,0
"E00047735","E00047735",135,123,12,0,0
"E00047736","E00047736",114,85,29,0,0
"E00047737","E00047737",117,100,17,0,0
"E00047738","E00047738",121,97,24,0,0
"E00047739","E00047739",127,120,7,0,0
"E00047740","E00047740",118,91,25,2,0
"E00047741","E00047741",98,80,15,0,3
"E00047742","E00047742",109,91,17,1,0
"E00047743","E00047743",122,113,9,0,0
"E00047744","E00047744",123,106,17,0,0
"E00047745","E00047745",112,96,16,0,0
"E00047746","E00047746",144,132,11,1,0
"E00047747","E00047747",127,103,24,0,0
"E00047748","E00047748",129,102,27,0,0
"E00047749","E00047749",115,102,13,0,0
"E00047750","E00047750",134,117,17,0,0
"E00047751","E00047751",129,120,9,0,0
"E00047752","E00047752",121,107,14,0,0
"E00047753","E00047753",126,113,13,0,0
"E00047754","E00047754",156,126,30,0,0
"E00047755","E00047755",101,88,13,0,0
"E00047756","E00047756",148,136,12,0,0
"E00047757","E00047757",124,98,26,0,0
"E00047758","E00047758",124,102,22,0,0
"E00047759","E00047759",147,109,37,1,0
"E00047760","E00047760",136,100,36,0,0
"E00047761","E00047761",136,88,46,2,0
"E00047762","E00047762",145,98,44,3,0
"E00047763","E00047763",139,126,13,0,0
"E00047764","E00047764",195,172,23,0,0
"E00047765","E00047765",138,121,17,0,0
"E00047766","E00047766",130,107,23,0,0
"E00047767","E00047767",131,106,24,1,0
"E00047768","E00047768",145,120,22,2,1
"E00047769","E00047769",109,91,18,0,0
"E00047770","E00047770",122,115,7,0,0
"E00047771","E00047771",111,84,26,1,0
"E00047772","E00047772",122,101,21,0,0
"E00047773","E00047773",128,100,27,1,0
"E00047774","E00047774",141,114,26,1,0
"E00047775","E00047775",106,82,24,0,0
"E00047776","E00047776",115,94,21,0,0
"E00047777","E00047777",138,95,41,1,1
"E00047778","E00047778",125,97,28,0,0
"E00047779","E00047779",224,174,49,1,0
"E00047780","E00047780",133,120,13,0,0
"E00047781","E00047781",148,109,36,2,1
"E00047782","E00047782",191,132,55,4,0
"E00047783","E00047783",216,155,59,2,0
"E00047784","E00047784",133,97,36,0,0
"E00047785","E00047785",119,90,28,1,0
"E00047786","E00047786",134,112,18,4,0
"E00047787","E00047787",151,119,32,0,0
"E00047788","E00047788",112,87,23,2,0
"E00047789","E00047789",112,84,28,0,0
"E00047790","E00047790",155,133,21,1,0
"E00047791","E00047791",148,100,45,3,0
"E00047792","E00047792",124,98,25,1,0
"E00047793","E00047793",128,115,12,1,0
"E00047794","E00047794",118,84,32,2,0
"E00047795","E00047795",121,102,19,0,0
"E00047796","E00047796",135,96,38,1,0
"E00047797","E00047797",129,99,28,2,0
"E00047798","E00047798",104,78,25,1,0
"E00047799","E00047799",130,100,30,0,0
"E00047800","E00047800",135,105,27,2,1
"E00047801","E00047801",132,96,36,0,0
"E00047802","E00047802",125,100,25,0,0
"E00047803","E00047803",159,127,31,1,0
"E00047804","E00047804",130,95,35,0,0
"E00047805","E00047805",144,111,33,0,0
"E00047806","E00047806",115,67,46,2,0
"E00047807","E00047807",121,94,27,0,0
"E00047808","E00047808",141,105,36,0,0
"E00047809","E00047809",128,90,38,0,0
"E00047810","E00047810",152,119,31,2,0
"E00047811","E00047811",120,88,32,0,0
"E00047812","E00047812",131,109,22,0,0
"E00047813","E00047813",116,94,22,0,0
"E00047814","E00047814",110,94,15,1,0
"E00047815","E00047815",124,83,41,0,0
"E00047816","E00047816",146,91,55,0,0
"E00047817","E00047817",114,93,21,0,0
"E00047818","E00047818",110,79,28,3,0
"E00047819","E00047819",130,98,30,2,0
"E00047820","E00047820",149,119,29,1,0
"E00047821","E00047821",115,91,24,0,0
"E00047823","E00047823",122,101,20,1,0
"E00047824","E00047824",140,117,22,1,0
"E00047825","E00047825",98,78,19,1,0
"E00047826","E00047826",131,104,27,0,0
"E00047827","E00047827",125,113,10,1,1
"E00047828","E00047828",146,125,21,0,0
"E00047829","E00047829",131,119,12,0,0
"E00047830","E00047830",125,105,20,0,0
"E00047831","E00047831",111,101,10,0,0
"E00047832","E00047832",115,80,35,0,0
"E00047833","E00047833",137,114,23,0,0
"E00047834","E00047834",134,102,32,0,0
"E00047835","E00047835",134,114,20,0,0
"E00047836","E00047836",128,96,32,0,0
"E00047837","E00047837",115,87,28,0,0
"E00047838","E00047838",125,102,22,1,0
"E00047839","E00047839",114,94,20,0,0
"E00047840","E00047840",133,103,30,0,0
"E00047841","E00047841",121,99,20,2,0
"E00047842","E00047842",116,77,39,0,0
"E00047843","E00047843",135,107,28,0,0
"E00047844","E00047844",110,87,21,0,2
"E00047845","E00047845",123,86,37,0,0
"E00047846","E00047846",135,106,29,0,0
"E00047847","E00047847",136,91,44,0,1
"E00047848","E00047848",124,101,22,1,0
"E00047849","E00047849",131,100,30,1,0
"E00047850","E00047850",135,101,33,1,0
"E00047851","E00047851",131,87,43,1,0
"E00047852","E00047852",131,100,31,0,0
"E00047853","E00047853",141,116,25,0,0
"E00047854","E00047854",108,79,28,1,0
"E00047855","E00047855",121,95,24,2,0
"E00047856","E00047856",117,88,25,4,0
"E00047857","E00047857",116,90,26,0,0
"E00047858","E00047858",136,111,24,1,0
"E00047859","E00047859",128,109,19,0,0
"E00047860","E00047860",115,86,28,1,0
"E00047861","E00047861",119,109,10,0,0
"E00047863","E00047863",119,97,22,0,0
"E00047864","E00047864",97,80,16,1,0
"E00047865","E00047865",121,98,22,1,0
"E00047866","E00047866",131,93,37,1,0
"E00047867","E00047867",140,97,40,2,1
"E00047868","E00047868",128,97,30,1,0
"E00047869","E00047869",142,92,44,5,1
"E00047870","E00047870",120,93,27,0,0
"E00047871","E00047871",141,84,48,7,2
"E00047872","E00047872",133,93,36,3,1
"E00047873","E00047873",129,85,43,1,0
"E00047874","E00047874",120,86,32,2,0
"E00047875","E00047875",139,93,41,4,1
"E00047876","E00047876",124,88,34,2,0
"E00047877","E00047877",124,82,32,8,2
"E00047878","E00047878",117,88,28,0,1
"E00047879","E00047879",223,175,44,4,0
"E00047880","E00047880",140,119,21,0,0
"E00047881","E00047881",182,145,37,0,0
"E00047882","E00047882",133,100,32,1,0
"E00047883","E00047883",125,85,40,0,0
"E00047884","E00047884",128,89,38,0,1
"E00047885","E00047885",115,79,35,1,0
"E00047886","E00047886",117,78,36,3,0
"E00047887","E00047887",124,94,30,0,0
"E00047888","E00047888",137,105,32,0,0
"E00047890","E00047890",124,110,14,0,0
"E00047891","E00047891",135,107,27,1,0
"E00047892","E00047892",124,107,17,0,0
"E00047893","E00047893",135,111,24,0,0
"E00047894","E00047894",128,106,22,0,0
"E00047895","E00047895",135,97,38,0,0
"E00047896","E00047896",129,107,22,0,0
"E00047897","E00047897",119,98,21,0,0
"E00047898","E00047898",132,113,19,0,0
"E00047899","E00047899",132,112,19,1,0
"E00047900","E00047900",126,109,17,0,0
"E00047901","E00047901",119,104,14,1,0
"E00047902","E00047902",119,85,33,0,1
"E00047903","E00047903",118,96,22,0,0
"E00047904","E00047904",131,112,18,0,1
"E00047905","E00047905",140,102,36,2,0
"E00047906","E00047906",91,63,28,0,0
"E00047907","E00047907",129,103,25,1,0
"E00047908","E00047908",134,104,29,1,0
"E00047909","E00047909",129,110,15,4,0
"E00047910","E00047910",140,102,38,0,0
"E00047911","E00047911",129,104,24,0,1
"E00047912","E00047912",132,96,34,2,0
"E00047913","E00047913",133,117,16,0,0
"E00047914","E00047914",123,108,14,1,0
"E00047915","E00047915",189,159,28,1,1
"E00047916","E00047916",120,101,18,1,0
"E00047917","E00047917",146,117,28,1,0
"E00047918","E00047918",102,93,9,0,0
"E00047919","E00047919",126,98,28,0,0
"E00047920","E00047920",156,101,55,0,0
"E00047921","E00047921",134,104,29,0,1
"E00047922","E00047922",123,99,23,1,0
"E00047923","E00047923",112,89,21,2,0
"E00047924","E00047924",129,111,18,0,0
"E00047925","E00047925",129,86,43,0,0
"E00047926","E00047926",130,90,40,0,0
"E00047927","E00047927",142,114,28,0,0
"E00047928","E00047928",132,107,25,0,0
"E00047929","E00047929",125,87,38,0,0
"E00047930","E00047930",134,113,19,0,2
"E00047931","E00047931",102,76,26,0,0
"E00047932","E00047932",142,104,34,4,0
"E00047933","E00047933",135,106,28,1,0
"E00047934","E00047934",122,102,20,0,0
"E00047935","E00047935",130,98,32,0,0
"E00047936","E00047936",138,105,33,0,0
"E00047937","E00047937",129,103,25,0,1
"E00047938","E00047938",145,104,40,0,1
"E00047939","E00047939",137,103,34,0,0
"E00047940","E00047940",152,118,34,0,0
"E00047941","E00047941",149,118,31,0,0
"E00047942","E00047942",158,130,28,0,0
"E00047943","E00047943",114,88,26,0,0
"E00047944","E00047944",127,106,21,0,0
"E00047945","E00047945",125,102,23,0,0
"E00047946","E00047946",123,91,32,0,0
"E00047947","E00047947",114,94,20,0,0
"E00047948","E00047948",118,98,20,0,0
"E00047949","E00047949",134,100,32,1,1
"E00047950","E00047950",74,58,15,1,0
"E00047951","E00047951",127,105,22,0,0
"E00047952","E00047952",115,107,8,0,0
