
"QS303EW - Long-term health problem or disability"
"ONS Crown Copyright Reserved [from Nomis on 18 April 2025]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","All categories: Long-term health problem or disability","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities not limited"
"E00045788","E00045788",352,36,33,283
"E00045789","E00045789",172,21,23,128
"E00045790","E00045790",359,19,22,318
"E00045791","E00045791",286,33,24,229
"E00045792","E00045792",310,21,34,255
"E00045793","E00045793",274,21,17,236
"E00045794","E00045794",333,35,37,261
"E00045795","E00045795",331,37,40,254
"E00045796","E00045796",318,29,31,258
"E00045797","E00045797",397,68,34,295
"E00045798","E00045798",451,34,41,376
"E00045799","E00045799",342,22,31,289
"E00045800","E00045800",375,23,19,333
"E00045801","E00045801",313,18,18,277
"E00045802","E00045802",366,35,33,298
"E00045803","E00045803",447,44,28,375
"E00045804","E00045804",345,31,35,279
"E00045805","E00045805",371,38,26,307
"E00045806","E00045806",422,60,40,322
"E00045807","E00045807",358,25,39,294
"E00045808","E00045808",435,27,33,375
"E00045809","E00045809",302,21,22,259
"E00045810","E00045810",388,34,36,318
"E00045811","E00045811",458,39,40,379
"E00045812","E00045812",398,28,27,343
"E00045813","E00045813",234,30,42,162
"E00045814","E00045814",315,42,31,242
"E00045815","E00045815",430,57,46,327
"E00045816","E00045816",243,26,21,196
"E00045817","E00045817",392,33,39,320
"E00045818","E00045818",616,35,48,533
"E00045819","E00045819",412,38,57,317
"E00045820","E00045820",513,38,45,430
"E00045821","E00045821",306,34,32,240
"E00045822","E00045822",423,38,38,347
"E00045823","E00045823",230,52,28,150
"E00045825","E00045825",367,8,35,324
"E00045826","E00045826",361,18,30,313
"E00045827","E00045827",340,18,16,306
"E00045828","E00045828",339,13,25,301
"E00045829","E00045829",300,29,29,242
"E00045830","E00045830",346,22,32,292
"E00045831","E00045831",348,17,26,305
"E00045832","E00045832",338,21,34,283
"E00045833","E00045833",311,20,26,265
"E00045834","E00045834",286,34,35,217
"E00045835","E00045835",335,18,34,283
"E00045836","E00045836",398,22,38,338
"E00045837","E00045837",318,15,30,273
"E00045838","E00045838",346,37,21,288
"E00045839","E00045839",375,29,36,310
"E00045840","E00045840",340,16,28,296
"E00045841","E00045841",430,46,49,335
"E00045842","E00045842",470,29,32,409
"E00045843","E00045843",360,27,32,301
"E00045844","E00045844",426,38,46,342
"E00045845","E00045845",312,35,41,236
"E00045846","E00045846",383,24,28,331
"E00045847","E00045847",459,40,33,386
"E00045848","E00045848",427,77,43,307
"E00045849","E00045849",265,24,21,220
"E00045850","E00045850",300,26,24,250
"E00045851","E00045851",282,48,41,193
"E00045852","E00045852",365,37,27,301
"E00045853","E00045853",410,20,56,334
"E00045854","E00045854",358,33,31,294
"E00045855","E00045855",386,32,34,320
"E00045856","E00045856",360,36,37,287
"E00045857","E00045857",190,36,37,117
"E00045858","E00045858",303,40,43,220
"E00045859","E00045859",463,26,33,404
"E00045860","E00045860",387,24,28,335
"E00045861","E00045861",403,17,38,348
"E00045862","E00045862",420,33,27,360
"E00045863","E00045863",295,24,31,240
"E00045864","E00045864",401,21,47,333
"E00045865","E00045865",382,16,29,337
"E00045866","E00045866",200,29,30,141
"E00045867","E00045867",380,18,48,314
"E00045868","E00045868",311,41,34,236
"E00045869","E00045869",369,19,32,318
"E00045870","E00045870",364,27,32,305
"E00045871","E00045871",373,34,39,300
"E00045872","E00045872",374,26,28,320
"E00045873","E00045873",390,55,46,289
"E00045874","E00045874",390,26,43,321
"E00045875","E00045875",368,37,32,299
"E00045876","E00045876",337,36,29,272
"E00045877","E00045877",345,24,31,290
"E00045878","E00045878",440,26,39,375
"E00045879","E00045879",325,30,19,276
"E00045880","E00045880",361,37,39,285
"E00045881","E00045881",456,33,38,385
"E00045882","E00045882",430,45,23,362
"E00045883","E00045883",334,27,24,283
"E00045884","E00045884",313,29,24,260
"E00045885","E00045885",362,21,30,311
"E00045886","E00045886",379,45,31,303
"E00045887","E00045887",360,31,42,287
"E00045888","E00045888",358,32,24,302
"E00045889","E00045889",430,34,47,349
"E00045890","E00045890",384,21,31,332
"E00045891","E00045891",311,26,33,252
"E00045892","E00045892",386,37,38,311
"E00045893","E00045893",405,33,25,347
"E00045894","E00045894",277,30,45,202
"E00045895","E00045895",260,19,25,216
"E00045896","E00045896",415,31,40,344
"E00045897","E00045897",314,52,21,241
"E00045898","E00045898",381,28,35,318
"E00045899","E00045899",400,31,29,340
"E00045900","E00045900",342,28,37,277
"E00045901","E00045901",493,28,36,429
"E00045902","E00045902",294,32,33,229
"E00045904","E00045904",441,34,34,373
"E00045905","E00045905",426,32,28,366
"E00045906","E00045906",588,68,68,452
"E00045907","E00045907",347,34,32,281
"E00045909","E00045909",456,37,27,392
"E00045910","E00045910",453,42,41,370
"E00045911","E00045911",452,42,47,363
"E00045912","E00045912",215,26,18,171
"E00045913","E00045913",394,36,30,328
"E00045914","E00045914",499,43,36,420
"E00045915","E00045915",345,20,27,298
"E00045916","E00045916",130,14,11,105
"E00045917","E00045917",598,49,41,508
"E00045918","E00045918",442,45,40,357
"E00045919","E00045919",526,45,42,439
"E00045920","E00045920",397,40,20,337
"E00045921","E00045921",479,31,49,399
"E00045922","E00045922",546,48,51,447
"E00045923","E00045923",403,31,35,337
"E00045924","E00045924",354,18,33,303
"E00045925","E00045925",548,48,44,456
"E00045926","E00045926",426,52,41,333
"E00045927","E00045927",379,35,30,314
"E00045928","E00045928",372,28,25,319
"E00045929","E00045929",367,36,45,286
"E00045930","E00045930",462,40,42,380
"E00045931","E00045931",418,43,30,345
"E00045932","E00045932",329,26,31,272
"E00045933","E00045933",571,50,52,469
"E00045934","E00045934",590,68,58,464
"E00045935","E00045935",386,36,36,314
"E00045936","E00045936",431,33,36,362
"E00045937","E00045937",564,46,57,461
"E00045939","E00045939",425,43,39,343
"E00045940","E00045940",524,45,50,429
"E00045941","E00045941",405,51,49,305
"E00045943","E00045943",411,30,25,356
"E00045944","E00045944",464,37,40,387
"E00045945","E00045945",389,32,43,314
"E00045946","E00045946",365,45,41,279
"E00045947","E00045947",397,49,30,318
"E00045948","E00045948",587,56,52,479
"E00045949","E00045949",338,25,28,285
"E00045950","E00045950",358,24,16,318
"E00045951","E00045951",307,42,33,232
"E00045952","E00045952",328,34,19,275
"E00045953","E00045953",301,22,22,257
"E00045954","E00045954",379,21,37,321
"E00045955","E00045955",441,41,40,360
"E00045956","E00045956",406,25,22,359
"E00045957","E00045957",387,34,43,310
"E00045959","E00045959",387,29,50,308
"E00045960","E00045960",369,32,25,312
"E00045961","E00045961",429,27,28,374
"E00045962","E00045962",414,42,36,336
"E00045963","E00045963",495,32,48,415
"E00045964","E00045964",274,20,22,232
"E00045965","E00045965",430,33,39,358
"E00045966","E00045966",526,47,49,430
"E00045967","E00045967",479,27,36,416
"E00045968","E00045968",605,46,36,523
"E00045969","E00045969",398,36,30,332
"E00045970","E00045970",275,25,27,223
"E00045971","E00045971",318,18,22,278
"E00045972","E00045972",269,11,13,245
"E00045973","E00045973",211,6,12,193
"E00045974","E00045974",299,8,13,278
"E00045975","E00045975",303,6,22,275
"E00045976","E00045976",309,19,18,272
"E00045977","E00045977",279,29,40,210
"E00045978","E00045978",296,9,13,274
"E00045979","E00045979",282,8,16,258
"E00045980","E00045980",345,7,18,320
"E00045981","E00045981",259,11,10,238
"E00045982","E00045982",273,14,27,232
"E00045983","E00045983",216,37,26,153
"E00045984","E00045984",387,57,39,291
"E00045985","E00045985",351,7,15,329
"E00045986","E00045986",351,9,27,315
"E00045987","E00045987",344,3,20,321
"E00045988","E00045988",272,23,13,236
"E00045989","E00045989",270,9,13,248
"E00045990","E00045990",383,45,44,294
"E00045991","E00045991",269,31,27,211
"E00045992","E00045992",201,53,43,105
"E00045993","E00045993",359,28,16,315
"E00045994","E00045994",295,20,16,259
"E00045995","E00045995",259,9,20,230
"E00045996","E00045996",286,10,24,252
"E00045997","E00045997",268,16,22,230
"E00045998","E00045998",343,27,28,288
"E00045999","E00045999",259,44,43,172
"E00046000","E00046000",267,16,19,232
"E00046001","E00046001",290,26,18,246
"E00046002","E00046002",288,33,23,232
"E00046003","E00046003",302,36,34,232
"E00046004","E00046004",218,21,24,173
"E00046005","E00046005",237,31,27,179
"E00046006","E00046006",254,24,29,201
"E00046007","E00046007",440,33,28,379
"E00046008","E00046008",335,27,37,271
"E00046009","E00046009",155,26,29,100
"E00046010","E00046010",366,27,39,300
"E00046011","E00046011",223,24,27,172
"E00046012","E00046012",318,19,28,271
"E00046013","E00046013",303,24,30,249
"E00046014","E00046014",474,37,26,411
"E00046015","E00046015",291,46,46,199
"E00046016","E00046016",232,23,19,190
"E00046017","E00046017",356,35,35,286
"E00046018","E00046018",305,23,20,262
"E00046019","E00046019",324,30,21,273
"E00046020","E00046020",265,17,24,224
"E00046021","E00046021",321,16,28,277
"E00046022","E00046022",273,29,29,215
"E00046023","E00046023",325,32,26,267
"E00046024","E00046024",301,26,40,235
"E00046025","E00046025",320,31,29,260
"E00046026","E00046026",357,26,23,308
"E00046027","E00046027",287,23,41,223
"E00046028","E00046028",336,13,22,301
"E00046029","E00046029",266,19,20,227
"E00046030","E00046030",273,18,40,215
"E00046031","E00046031",299,31,26,242
"E00046032","E00046032",310,29,34,247
"E00046033","E00046033",277,24,13,240
"E00046034","E00046034",290,3,15,272
"E00046035","E00046035",283,31,29,223
"E00046036","E00046036",270,34,32,204
"E00046037","E00046037",273,28,24,221
"E00046038","E00046038",186,31,34,121
"E00046039","E00046039",415,45,38,332
"E00046040","E00046040",425,19,35,371
"E00046041","E00046041",277,8,16,253
"E00046042","E00046042",276,16,17,243
"E00046043","E00046043",360,14,36,310
"E00046044","E00046044",344,13,18,313
"E00046045","E00046045",287,18,19,250
"E00046046","E00046046",236,6,14,216
"E00046047","E00046047",238,19,15,204
"E00046048","E00046048",214,22,12,180
"E00046049","E00046049",162,12,12,138
"E00046050","E00046050",259,32,31,196
"E00046051","E00046051",391,52,27,312
"E00046052","E00046052",344,36,32,276
"E00046053","E00046053",404,28,45,331
"E00046056","E00046056",392,36,24,332
"E00046057","E00046057",423,45,37,341
"E00046058","E00046058",369,45,46,278
"E00046059","E00046059",345,51,36,258
"E00046060","E00046060",349,22,20,307
"E00046061","E00046061",392,25,52,315
"E00046062","E00046062",336,29,31,276
"E00046063","E00046063",324,38,28,258
"E00046064","E00046064",330,32,31,267
"E00046065","E00046065",332,30,30,272
"E00046066","E00046066",333,29,15,289
"E00046067","E00046067",368,37,33,298
"E00046068","E00046068",266,37,42,187
"E00046069","E00046069",312,39,41,232
"E00046070","E00046070",326,34,27,265
"E00046071","E00046071",341,20,24,297
"E00046073","E00046073",312,31,37,244
"E00046074","E00046074",253,34,38,181
"E00046075","E00046075",320,29,27,264
"E00046076","E00046076",195,12,20,163
"E00046080","E00046080",285,17,22,246
"E00046081","E00046081",363,40,28,295
"E00046082","E00046082",225,45,35,145
"E00046083","E00046083",323,17,33,273
"E00046085","E00046085",363,46,36,281
"E00046086","E00046086",324,42,34,248
"E00046087","E00046087",368,42,27,299
"E00046088","E00046088",356,30,41,285
"E00046089","E00046089",354,32,30,292
"E00046090","E00046090",314,21,23,270
"E00046091","E00046091",221,20,16,185
"E00046093","E00046093",272,19,22,231
"E00046094","E00046094",401,29,33,339
"E00046095","E00046095",371,37,33,301
"E00046096","E00046096",462,29,58,375
"E00046097","E00046097",352,38,44,270
"E00046098","E00046098",191,40,14,137
"E00046099","E00046099",383,29,27,327
"E00046100","E00046100",238,51,41,146
"E00046101","E00046101",398,59,27,312
"E00046102","E00046102",424,31,31,362
"E00046103","E00046103",482,45,31,406
"E00046104","E00046104",259,27,35,197
"E00046105","E00046105",355,22,24,309
"E00046106","E00046106",355,31,34,290
"E00046107","E00046107",293,25,25,243
"E00046108","E00046108",567,31,43,493
"E00046109","E00046109",333,49,37,247
"E00046110","E00046110",323,48,32,243
"E00046111","E00046111",412,38,26,348
"E00046112","E00046112",473,36,38,399
"E00046113","E00046113",511,34,38,439
"E00046114","E00046114",356,24,38,294
"E00046115","E00046115",259,31,24,204
"E00046116","E00046116",476,36,33,407
"E00046117","E00046117",586,103,42,441
"E00046118","E00046118",296,21,18,257
"E00046119","E00046119",435,54,36,345
"E00046120","E00046120",462,25,43,394
"E00046121","E00046121",288,28,31,229
"E00046122","E00046122",329,59,45,225
"E00046123","E00046123",481,41,44,396
"E00046124","E00046124",258,38,27,193
"E00046125","E00046125",357,42,46,269
"E00046126","E00046126",288,23,39,226
"E00046127","E00046127",377,38,32,307
"E00046128","E00046128",350,36,42,272
"E00046129","E00046129",359,31,37,291
"E00046130","E00046130",286,32,36,218
"E00046131","E00046131",283,40,27,216
"E00046132","E00046132",324,45,36,243
"E00046133","E00046133",437,41,49,347
"E00046134","E00046134",359,61,49,249
"E00046135","E00046135",327,33,33,261
"E00046136","E00046136",329,43,46,240
"E00046137","E00046137",297,36,25,236
"E00046138","E00046138",287,34,25,228
"E00046140","E00046140",258,32,19,207
"E00046141","E00046141",316,52,42,222
"E00046142","E00046142",254,40,32,182
"E00046143","E00046143",273,33,32,208
"E00046144","E00046144",248,40,25,183
"E00046145","E00046145",211,15,19,177
"E00046146","E00046146",207,38,32,137
"E00046147","E00046147",220,26,21,173
"E00046148","E00046148",470,54,49,367
"E00046149","E00046149",335,24,39,272
"E00046150","E00046150",318,12,32,274
"E00046151","E00046151",353,102,29,222
"E00046152","E00046152",257,37,23,197
"E00046153","E00046153",301,36,35,230
"E00046154","E00046154",272,39,36,197
"E00046155","E00046155",349,47,49,253
"E00046156","E00046156",191,22,26,143
"E00046157","E00046157",302,54,32,216
"E00046158","E00046158",243,44,37,162
"E00046159","E00046159",290,67,45,178
"E00046160","E00046160",248,44,41,163
"E00046161","E00046161",236,46,35,155
"E00046162","E00046162",278,34,33,211
"E00046163","E00046163",463,56,50,357
"E00046164","E00046164",304,30,33,241
"E00046166","E00046166",302,45,36,221
"E00046167","E00046167",215,32,28,155
"E00046168","E00046168",343,50,34,259
"E00046169","E00046169",251,17,32,202
"E00046170","E00046170",268,42,34,192
"E00046171","E00046171",286,27,37,222
"E00046172","E00046172",361,53,47,261
"E00046173","E00046173",302,25,28,249
"E00046174","E00046174",272,85,37,150
"E00046175","E00046175",354,49,47,258
"E00046176","E00046176",313,33,31,249
"E00046177","E00046177",294,39,40,215
"E00046178","E00046178",309,36,34,239
"E00046179","E00046179",321,32,29,260
"E00046180","E00046180",389,83,40,266
"E00046181","E00046181",345,52,48,245
"E00046182","E00046182",328,48,36,244
"E00046183","E00046183",454,83,59,312
"E00046184","E00046184",324,33,42,249
"E00046185","E00046185",323,50,39,234
"E00046186","E00046186",398,27,40,331
"E00046187","E00046187",388,55,37,296
"E00046188","E00046188",360,17,37,306
"E00046189","E00046189",348,41,61,246
"E00046190","E00046190",169,8,26,135
"E00046191","E00046191",337,34,31,272
"E00046192","E00046192",291,42,28,221
"E00046193","E00046193",263,30,30,203
"E00046194","E00046194",353,50,61,242
"E00046195","E00046195",223,23,20,180
"E00046196","E00046196",389,69,59,261
"E00046197","E00046197",315,37,24,254
"E00046198","E00046198",346,34,30,282
"E00046199","E00046199",323,8,26,289
"E00046200","E00046200",288,17,27,244
"E00046201","E00046201",229,25,34,170
"E00046202","E00046202",293,27,41,225
"E00046203","E00046203",290,25,43,222
"E00046204","E00046204",445,40,42,363
"E00046205","E00046205",326,25,44,257
"E00046206","E00046206",345,55,35,255
"E00046207","E00046207",221,37,43,141
"E00046208","E00046208",343,80,45,218
"E00046209","E00046209",214,51,36,127
"E00046210","E00046210",292,23,26,243
"E00046211","E00046211",375,46,49,280
"E00046212","E00046212",245,37,34,174
"E00046213","E00046213",297,63,29,205
"E00046214","E00046214",218,35,21,162
"E00046215","E00046215",268,37,30,201
"E00046216","E00046216",256,41,36,179
"E00046217","E00046217",263,36,32,195
"E00046218","E00046218",264,38,32,194
"E00046219","E00046219",216,33,31,152
"E00046220","E00046220",301,52,32,217
"E00046221","E00046221",281,41,32,208
"E00046222","E00046222",259,54,37,168
"E00046223","E00046223",285,80,28,177
"E00046224","E00046224",334,30,27,277
"E00046225","E00046225",335,32,28,275
"E00046226","E00046226",344,32,30,282
"E00046227","E00046227",285,23,37,225
"E00046228","E00046228",335,34,44,257
"E00046229","E00046229",358,23,46,289
"E00046230","E00046230",270,25,28,217
"E00046231","E00046231",569,33,31,505
"E00046232","E00046232",253,18,32,203
"E00046233","E00046233",399,21,42,336
"E00046234","E00046234",267,42,33,192
"E00046235","E00046235",365,23,21,321
"E00046236","E00046236",491,55,53,383
"E00046237","E00046237",269,19,23,227
"E00046238","E00046238",278,30,20,228
"E00046239","E00046239",311,36,35,240
"E00046240","E00046240",244,21,31,192
"E00046242","E00046242",288,57,37,194
"E00046244","E00046244",306,62,15,229
"E00046245","E00046245",280,29,35,216
"E00046246","E00046246",365,32,36,297
"E00046247","E00046247",252,19,21,212
"E00046248","E00046248",398,39,24,335
"E00046249","E00046249",242,30,24,188
"E00046250","E00046250",394,35,48,311
"E00046251","E00046251",309,27,27,255
"E00046252","E00046252",274,25,38,211
"E00046253","E00046253",276,21,28,227
"E00046254","E00046254",358,44,46,268
"E00046255","E00046255",186,21,15,150
"E00046256","E00046256",287,34,29,224
"E00046257","E00046257",386,34,35,317
"E00046258","E00046258",234,16,36,182
"E00046259","E00046259",235,12,16,207
"E00046260","E00046260",305,47,32,226
"E00046261","E00046261",379,41,40,298
"E00046262","E00046262",336,62,41,233
"E00046263","E00046263",266,16,20,230
"E00046264","E00046264",417,47,43,327
"E00046265","E00046265",268,24,28,216
"E00046266","E00046266",324,44,32,248
"E00046267","E00046267",227,53,36,138
"E00046268","E00046268",368,26,30,312
"E00046269","E00046269",162,54,37,71
"E00046270","E00046270",260,34,47,179
"E00046271","E00046271",334,61,35,238
"E00046272","E00046272",306,100,41,165
"E00046273","E00046273",263,40,34,189
"E00046274","E00046274",324,26,40,258
"E00046275","E00046275",379,37,35,307
"E00046276","E00046276",402,49,40,313
"E00046277","E00046277",278,24,33,221
"E00046278","E00046278",354,34,30,290
"E00046279","E00046279",287,53,34,200
"E00046280","E00046280",264,29,29,206
"E00046281","E00046281",285,32,36,217
"E00046283","E00046283",292,32,33,227
"E00046284","E00046284",587,109,53,425
"E00046285","E00046285",296,39,34,223
"E00046286","E00046286",336,46,25,265
"E00046287","E00046287",342,31,31,280
"E00046288","E00046288",337,47,27,263
"E00046289","E00046289",334,44,43,247
"E00046290","E00046290",324,27,21,276
"E00046291","E00046291",341,19,23,299
"E00046292","E00046292",256,30,16,210
"E00046293","E00046293",371,45,37,289
"E00046294","E00046294",313,36,38,239
"E00046295","E00046295",349,20,20,309
"E00046296","E00046296",367,47,41,279
"E00046297","E00046297",320,19,27,274
"E00046298","E00046298",330,36,32,262
"E00046299","E00046299",365,31,30,304
"E00046300","E00046300",197,26,22,149
"E00046301","E00046301",374,30,40,304
"E00046302","E00046302",405,32,37,336
"E00046303","E00046303",339,39,24,276
"E00046304","E00046304",240,35,21,184
"E00046305","E00046305",286,33,19,234
"E00046306","E00046306",258,32,22,204
"E00046307","E00046307",260,24,17,219
"E00046308","E00046308",369,40,28,301
"E00046309","E00046309",312,34,35,243
"E00046310","E00046310",317,44,30,243
"E00046311","E00046311",306,49,39,218
"E00046312","E00046312",258,27,28,203
"E00046313","E00046313",312,23,22,267
"E00046314","E00046314",323,36,31,256
"E00046315","E00046315",371,39,33,299
"E00046316","E00046316",291,37,28,226
"E00046317","E00046317",283,47,34,202
"E00046318","E00046318",423,41,34,348
"E00046319","E00046319",374,54,29,291
"E00046320","E00046320",359,35,37,287
"E00046321","E00046321",272,18,26,228
"E00046322","E00046322",316,34,19,263
"E00046323","E00046323",251,50,37,164
"E00046324","E00046324",295,33,33,229
"E00046325","E00046325",320,38,29,253
"E00046326","E00046326",343,33,29,281
"E00046327","E00046327",343,36,25,282
"E00046328","E00046328",310,33,30,247
"E00046329","E00046329",318,40,26,252
"E00046330","E00046330",311,35,35,241
"E00046331","E00046331",252,57,37,158
"E00046332","E00046332",299,41,42,216
"E00046333","E00046333",376,37,39,300
"E00046334","E00046334",327,40,26,261
"E00046335","E00046335",276,56,28,192
"E00046336","E00046336",315,28,42,245
"E00046337","E00046337",324,39,33,252
"E00046338","E00046338",205,47,34,124
"E00046339","E00046339",341,43,29,269
"E00046340","E00046340",363,46,28,289
"E00046341","E00046341",362,64,52,246
"E00046342","E00046342",209,42,51,116
"E00046343","E00046343",312,42,33,237
"E00046344","E00046344",438,37,37,364
"E00046347","E00046347",276,22,34,220
"E00046348","E00046348",319,29,33,257
"E00046349","E00046349",411,37,31,343
"E00046352","E00046352",324,38,22,264
"E00046353","E00046353",348,23,24,301
"E00046354","E00046354",422,28,22,372
"E00046357","E00046357",324,21,35,268
"E00046358","E00046358",315,6,14,295
"E00046359","E00046359",231,19,17,195
"E00046360","E00046360",550,46,44,460
"E00046361","E00046361",297,33,35,229
"E00046362","E00046362",234,8,18,208
"E00046363","E00046363",218,15,16,187
"E00046364","E00046364",287,27,27,233
"E00046365","E00046365",200,9,17,174
"E00046366","E00046366",461,35,37,389
"E00046367","E00046367",606,24,25,557
"E00046368","E00046368",248,21,13,214
"E00046369","E00046369",285,25,20,240
"E00046370","E00046370",218,24,28,166
"E00046371","E00046371",270,9,18,243
"E00046372","E00046372",344,23,19,302
"E00046373","E00046373",438,38,53,347
"E00046374","E00046374",264,23,18,223
"E00046376","E00046376",325,13,20,292
"E00046378","E00046378",309,26,26,257
"E00046379","E00046379",443,28,58,357
"E00046380","E00046380",306,29,27,250
"E00046381","E00046381",180,19,20,141
"E00046382","E00046382",258,17,16,225
"E00046383","E00046383",277,33,24,220
"E00046384","E00046384",377,26,26,325
"E00046386","E00046386",323,41,23,259
"E00046387","E00046387",232,38,28,166
"E00046388","E00046388",368,32,31,305
"E00046390","E00046390",314,49,54,211
"E00046391","E00046391",369,34,29,306
"E00046392","E00046392",326,28,25,273
"E00046393","E00046393",317,36,51,230
"E00046394","E00046394",335,20,26,289
"E00046395","E00046395",299,29,26,244
"E00046396","E00046396",353,25,28,300
"E00046397","E00046397",262,32,25,205
"E00046398","E00046398",538,31,21,486
"E00046400","E00046400",143,13,20,110
"E00046402","E00046402",405,49,33,323
"E00046403","E00046403",217,8,23,186
"E00046406","E00046406",231,35,28,168
"E00046408","E00046408",380,39,35,306
"E00046409","E00046409",366,24,46,296
"E00046411","E00046411",492,24,31,437
"E00046412","E00046412",216,31,31,154
"E00046413","E00046413",392,28,47,317
"E00046414","E00046414",336,23,35,278
"E00046416","E00046416",374,19,25,330
"E00046417","E00046417",571,41,73,457
"E00046418","E00046418",381,41,39,301
"E00046419","E00046419",457,45,37,375
"E00046420","E00046420",396,40,41,315
"E00046421","E00046421",389,51,39,299
"E00046422","E00046422",273,28,25,220
"E00046423","E00046423",319,29,30,260
"E00046424","E00046424",386,25,39,322
"E00046425","E00046425",239,30,27,182
"E00046426","E00046426",315,56,43,216
"E00046427","E00046427",502,45,24,433
"E00046429","E00046429",410,29,30,351
"E00046430","E00046430",459,30,40,389
"E00046431","E00046431",321,26,32,263
"E00046432","E00046432",345,48,41,256
"E00046433","E00046433",535,25,26,484
"E00046434","E00046434",583,50,39,494
"E00046435","E00046435",235,17,22,196
"E00046436","E00046436",255,36,26,193
"E00046437","E00046437",371,27,36,308
"E00046438","E00046438",364,49,38,277
"E00046439","E00046439",311,28,36,247
"E00046440","E00046440",270,34,31,205
"E00046442","E00046442",341,37,39,265
"E00046443","E00046443",281,22,40,219
"E00046444","E00046444",256,27,26,203
"E00046445","E00046445",547,56,50,441
"E00046446","E00046446",313,27,33,253
"E00046447","E00046447",243,23,31,189
"E00046448","E00046448",265,36,33,196
"E00046449","E00046449",310,18,20,272
"E00046450","E00046450",262,21,28,213
"E00046451","E00046451",251,29,36,186
"E00046452","E00046452",341,30,44,267
"E00046453","E00046453",255,39,25,191
"E00046454","E00046454",195,20,19,156
"E00046455","E00046455",304,21,24,259
"E00046456","E00046456",282,16,29,237
"E00046457","E00046457",268,18,20,230
"E00046458","E00046458",337,21,24,292
"E00046459","E00046459",313,13,22,278
"E00046460","E00046460",371,36,48,287
"E00046461","E00046461",327,28,37,262
"E00046462","E00046462",276,14,29,233
"E00046463","E00046463",267,12,29,226
"E00046464","E00046464",298,20,42,236
"E00046465","E00046465",272,21,27,224
"E00046466","E00046466",333,27,42,264
"E00046467","E00046467",325,17,29,279
"E00046468","E00046468",335,36,24,275
"E00046469","E00046469",343,27,38,278
"E00046470","E00046470",310,31,28,251
"E00046471","E00046471",287,31,35,221
"E00046472","E00046472",283,27,25,231
"E00046473","E00046473",241,27,15,199
"E00046474","E00046474",328,38,34,256
"E00046475","E00046475",293,28,27,238
"E00046476","E00046476",298,21,25,252
"E00046477","E00046477",275,28,22,225
"E00046478","E00046478",371,29,33,309
"E00046479","E00046479",245,20,36,189
"E00046480","E00046480",294,23,26,245
"E00046481","E00046481",312,35,35,242
"E00046482","E00046482",306,30,32,244
"E00046483","E00046483",273,14,33,226
"E00046484","E00046484",301,34,30,237
"E00046485","E00046485",247,21,19,207
"E00046486","E00046486",283,21,26,236
"E00046487","E00046487",232,25,25,182
"E00046488","E00046488",231,31,37,163
"E00046489","E00046489",382,50,47,285
"E00046490","E00046490",368,30,34,304
"E00046491","E00046491",409,38,38,333
"E00046492","E00046492",313,28,34,251
"E00046493","E00046493",337,44,31,262
"E00046494","E00046494",349,36,30,283
"E00046495","E00046495",316,46,42,228
"E00046496","E00046496",316,28,27,261
"E00046497","E00046497",363,27,49,287
"E00046500","E00046500",237,36,32,169
"E00046501","E00046501",362,17,23,322
"E00046502","E00046502",326,19,36,271
"E00046503","E00046503",368,21,30,317
"E00046504","E00046504",457,68,36,353
"E00046505","E00046505",286,30,26,230
"E00046506","E00046506",294,30,20,244
"E00046507","E00046507",372,50,34,288
"E00046508","E00046508",284,51,32,201
"E00046509","E00046509",380,52,39,289
"E00046510","E00046510",298,42,37,219
"E00046511","E00046511",310,45,56,209
"E00046512","E00046512",234,35,32,167
"E00046513","E00046513",211,44,33,134
"E00046514","E00046514",291,25,29,237
"E00046515","E00046515",264,41,36,187
"E00046516","E00046516",278,52,34,192
"E00046517","E00046517",325,52,40,233
"E00046518","E00046518",301,29,21,251
"E00046519","E00046519",240,35,31,174
"E00046520","E00046520",246,45,30,171
"E00046521","E00046521",279,34,43,202
"E00046522","E00046522",266,38,34,194
"E00046523","E00046523",291,45,39,207
"E00046524","E00046524",280,32,37,211
"E00046525","E00046525",250,56,37,157
"E00046526","E00046526",302,45,38,219
"E00046527","E00046527",254,35,32,187
"E00046528","E00046528",325,14,19,292
"E00046529","E00046529",407,20,36,351
"E00046530","E00046530",232,36,24,172
"E00046531","E00046531",320,60,33,227
"E00046532","E00046532",228,41,24,163
"E00046533","E00046533",223,20,9,194
"E00046534","E00046534",491,35,48,408
"E00046535","E00046535",524,68,39,417
"E00046536","E00046536",341,17,22,302
"E00046537","E00046537",255,22,22,211
"E00046538","E00046538",327,20,27,280
"E00046539","E00046539",281,18,22,241
"E00046540","E00046540",338,26,32,280
"E00046541","E00046541",284,17,16,251
"E00046542","E00046542",302,37,36,229
"E00046543","E00046543",303,16,25,262
"E00046544","E00046544",293,29,27,237
"E00046545","E00046545",302,24,17,261
"E00046546","E00046546",378,27,30,321
"E00046547","E00046547",444,23,32,389
"E00046548","E00046548",355,33,35,287
"E00046549","E00046549",266,21,27,218
"E00046550","E00046550",277,38,38,201
"E00046551","E00046551",412,33,35,344
"E00046552","E00046552",335,29,30,276
"E00046553","E00046553",396,26,39,331
"E00046554","E00046554",590,85,58,447
"E00046555","E00046555",515,68,42,405
